,CD20_Ring,CD44_Ring,CD45_Ring,CD4_Ring,CD68_Ring,CD8_Ring,CK14_Ring,CK19_Ring,CK5_Ring,CK7_Ring,ER_Nuclei,Ecad_Ring,HER2_Ring,Ki67_Nuclei,LamAC_Nuclei,PCNA_Nuclei,PD1_Ring,Vim_Ring,aSMA_Ring,pHH3_Nuclei,batch
BM-Her2N75-18_scene017_cell06161,4668.988393381076,1581.613579526249,1679.4762646946965,2030.2780484763425,764.4086196139199,2967.4211848053546,605.8471582802048,680.7714354660925,711.506628359378,377.7357693552981,2207.6752841514763,1326.092305319435,2299.6642124783184,347.9290542406667,6670.703989940977,1953.5087536052029,1542.9220594409967,2895.795133559347,3992.868309196642,1291.2604862316464,BM-Her2N75-18
BM-Her2N75-18_scene049_cell03929,5063.494412685574,781.9649721569201,1311.345123928866,1873.9004451732103,448.1568855505533,2242.546029377755,607.3422382177829,586.4537536811363,881.5645669544297,413.9931143135045,1737.8038939092364,1203.9262587341348,2289.073379924909,265.6479667806233,1132.9595693546873,2419.5867873626366,1274.5124182832396,1032.5904011910047,729.4059132834068,1464.051886697965,BM-Her2N75-18
BM-Her2N75-15_scene017_cell00833,3485.266771554848,5453.3008092575965,2010.8441378194286,3313.8387980219773,2518.8660275185775,2979.803368718871,474.7716365933996,668.5801029683682,625.6081529027962,80.9351521746371,1989.3626673667964,1050.7547865058839,1259.727068285016,385.8403744306599,2144.9059311931346,1721.8195506820857,1376.9174626575762,3224.5253128798267,1424.8054524830104,1131.6186842848613,BM-Her2N75-15
BM-Her2N75-18_scene049_cell02064,3076.430352111904,1102.3070883867713,1578.046942616425,3056.8577790147374,1951.9898365463996,3959.278804832439,463.70794957928524,621.9135155920633,638.281125062357,349.80617847916847,1659.6713860591599,1167.9500753138748,1112.756244716884,390.8538833476513,1523.639095230428,1905.4098684921942,1282.3678575319846,1881.9679126616281,1021.6975656772065,1530.501679762163,BM-Her2N75-18
BM-Her2N75-17_scene017_cell00375,2829.162675131563,1710.1813115012453,2511.552263895179,3181.3135819900617,474.5092155579538,1560.6812656004754,237.8341885267585,615.3724725556845,442.0566362001479,105.73386586111246,2084.662010016355,1115.5329487828794,2871.7776639300178,387.9227305885308,1246.7707573442801,1220.902446920753,1677.9919602965047,1908.7115200387952,1285.1297012905718,868.584213588326,BM-Her2N75-17
BM-Her2N75-17_scene049_cell05548,4102.862928369682,557.6628831867242,1758.982147424295,1811.488813646327,472.8520285014372,2041.26361653884,456.0464517886346,3432.9510436836267,627.7013540584877,4653.577156921134,2840.3757139898953,3654.963000649484,2752.678642482627,1095.827921920409,1960.39067487818,2211.1304678348943,1335.8368939525942,891.4449378822221,1327.8557477292873,1064.9824233501593,BM-Her2N75-17
BM-Her2N75-18_scene017_cell04018,2986.3435650159718,1172.8884311379293,1770.8556384610451,1659.0881446419496,554.813521707536,2291.545007489045,462.6519014256842,1586.7887126434498,576.8964899083303,1761.606315490753,3100.3917689203877,1910.2463139641654,2085.890936351805,324.2333728718721,1411.9742100704696,1544.0563472418169,1329.942612310716,995.6953141761423,1449.1158299631056,994.9298061891279,BM-Her2N75-18
BM-Her2N75-17_scene017_cell08384,3159.024797162784,1384.9789693668617,1697.151633585364,2134.3857525196568,640.2182934017344,2273.5814131170937,323.97968721871837,1823.3907206578106,616.5778774208216,1412.0756917579267,6859.649480869852,3814.928951298808,2081.1612860106857,411.7473240439704,3119.7359641456524,1500.0624176112926,1614.8123458078576,970.5687921914384,5394.444211532239,842.5503964546258,BM-Her2N75-17
BM-Her2N75-17_scene017_cell01067,2990.247369405968,1318.1668518705446,1563.2600561596644,2534.8799983145127,612.0364063770339,1820.3806539799702,364.68395480862614,1548.5575851863869,545.482646163511,2373.6379952010307,18616.487286587115,3957.0207199439214,2595.1552506688704,385.86573374740215,2109.1823440445955,1631.185434477381,1360.449382839955,963.7030443689674,1550.3848838258357,1145.2254785126297,BM-Her2N75-17
BM-Her2N75-18_scene049_cell03239,3311.706238767131,1138.6754016799653,1639.8928553624132,2317.480097095271,1481.4270231154146,3089.877481438533,428.2284805292681,882.9765736267427,568.0206133013376,693.6685939572887,1735.3891499461708,1444.0132567996857,1845.5477741638667,375.24173525696324,1650.0659497383858,1489.8260611636413,1330.01774007091,2282.1416269152505,935.8050051898465,969.4502931001017,BM-Her2N75-18
BM-Her2N75-18_scene017_cell04610,2324.6483906507765,1750.9425006658378,1433.0539954375415,1425.2638362870482,594.3150029705406,1302.6292665419014,414.39672075333647,637.9433067661942,537.8972555631266,299.62293365268715,1944.2377696294852,1240.8611465888182,2574.433347998517,384.728089761673,3459.6321114506836,1429.6399654398697,1325.4644445286585,719.777536866513,1383.1029709697348,877.9778693642945,BM-Her2N75-18
BM-Her2N75-18_scene049_cell02214,4372.358072402309,1592.403027767073,2729.0722717866647,2590.9799232772693,437.9589454372522,2510.767267117027,484.60308978373564,656.2015856112744,682.4735876193561,374.7529589109272,1861.3086895524025,1300.3751225814353,3026.622574069568,310.8071976289014,1340.4440996406765,2043.0032295675003,1488.5896094055095,2388.685688464925,1222.7859456848348,1480.1398910088653,BM-Her2N75-18
BM-Her2N75-15_scene049_cell02568,3474.7636649743145,693.9460282524727,1644.7481927250303,1745.8373769142738,430.1458475643372,1908.8233760154642,432.4733434941236,3930.148691726804,637.516056300247,4425.796095486925,4735.250021112346,3087.382607139513,3275.702539732876,443.8988329615695,1948.357614019299,2152.3300458357453,1221.8233392738541,760.4898241491491,1073.3955976792681,892.5320345239076,BM-Her2N75-15
BM-Her2N75-17_scene017_cell09333,2646.9271735998586,1412.7186120918723,1667.6122977060202,1925.542951178386,773.2830457441655,1849.6966118078751,219.4602587118552,615.7806547809264,507.7656787734959,-5.739894387205368,1773.1428619092617,1136.7364071419515,1687.2094895285195,365.61929198735703,1247.8818082479504,1356.5253087956016,1337.8102622111476,1141.766897506543,1128.2190549120457,875.2942277177976,BM-Her2N75-17
BM-Her2N75-17_scene017_cell01428,3413.6011533161245,879.8035552274749,1509.7704256470656,1518.1844130644881,586.9475778207,1813.2174505146809,358.45166598609615,930.9818853639454,461.6579850701962,1178.0823223271034,5282.48291309395,4682.314489524277,6975.793015017938,381.108094468308,1830.9813088145813,1504.5613277160041,1240.999692845995,810.2548773903956,1307.5315620577007,1031.6274561134749,BM-Her2N75-17
BM-Her2N75-18_scene017_cell07379,2891.9645762373275,970.9581661517146,1596.2000306813975,1755.9194424047887,581.2042834310106,1912.5508458788875,543.2274670709805,2363.094053954178,713.3370547351392,4391.682586974281,14171.639919266447,2908.705464242135,1825.6176170364738,378.04161035591926,2275.104201498786,2426.556834985826,1390.2925004924641,894.1502950728185,998.4590443394644,1115.1839069328357,BM-Her2N75-18
BM-Her2N75-17_scene017_cell06358,2769.0338971098754,1197.9899306214718,1353.6569240563722,1794.6968138964294,604.6516988506393,1672.7619625824627,252.85605574858147,557.9297321080298,475.76007942261555,44.57702284880679,1777.3373910933137,1102.5411877669906,1212.1377910961558,349.21972807460645,3999.427057026664,1302.607435143209,1243.5246858636333,1520.875948232263,1345.1771793341707,904.8463776579442,BM-Her2N75-17
BM-Her2N75-18_scene059_cell02446,5360.825928609662,1710.0683165742748,3364.3235786623245,6438.649028566069,820.0579565922014,2556.498460333579,642.8729987123855,651.7985569333437,720.4722888425727,360.7939179085465,2152.732661463464,1380.517359078106,1436.6019742508274,309.71172343241483,1665.6615719309611,2291.6546070236827,1495.6862796158207,1924.9663868602593,1837.9335490311194,1539.4394007753822,BM-Her2N75-18
BM-Her2N75-15_scene049_cell03299,4952.1061618037775,900.5750936273625,1400.606904745776,1879.7909196784096,616.7074506120912,2566.3811065650752,493.0571269672052,772.2669233362456,587.4216874266041,559.6709128349285,1763.5738206402327,1157.9725891342305,1759.31173797698,437.45870958917806,1626.3347705302763,3021.2149323626018,1401.6356968324203,2694.8323769664316,1332.296364377407,1895.277567428809,BM-Her2N75-15
BM-Her2N75-18_scene049_cell02189,6580.403556482037,853.6497808866156,1522.8995644767754,2373.064618197468,594.8806034669606,3359.960571942201,640.2535585942915,3569.481759356636,742.111912025288,5244.908605813707,3448.4182607030243,2327.591288684849,1997.5536400800977,532.725326155791,2453.17906935823,3379.749414736426,1374.1251998128482,1114.5419200751028,1734.0933875517871,2128.869394083915,BM-Her2N75-18
BM-Her2N75-18_scene049_cell05708,2695.305790437641,664.5795038724015,1419.8118636525064,1612.2924208579366,342.96490810054894,1452.1424944716662,504.09127346109193,2387.1937677071587,682.1148525645366,3239.4382643300264,3849.055837382645,3029.742465076406,2154.8113191724465,423.34161845377105,1708.2684569875123,1534.0764233237728,1240.6347044502934,666.3076840633198,349.1458436798014,832.570819165147,BM-Her2N75-18
