,BM-Her2N75-15_scene017,BM-Her2N75-15_scene049,BM-Her2N75-15_scene059,BM-Her2N75-17_scene017,BM-Her2N75-17_scene049,BM-Her2N75-17_scene059,BM-Her2N75-18_scene017,BM-Her2N75-18_scene049,BM-Her2N75-18_scene059
CD20_Ring,5068.327200102881,6331.207060614712,4938.624619775221,4603.043631670067,7420.320367457094,5379.47532339968,4972.027109474815,6799.988449443636,5127.361821360458
CD44_Ring,2848.472476341677,1707.1254676728597,4897.980154049226,1423.1318657092452,738.8468742728396,1929.2580601965492,2555.605055380741,2083.3979294636615,5243.808584431137
CD45_Ring,2282.651225531912,2361.8281521986787,3348.4532873134312,2921.111347579051,2717.4779644970404,3657.5773070730224,2312.3068019863435,2530.1938095238097,3162.837083824403
CD4_Ring,2953.4136163396042,2835.6029986702124,3784.1690601626024,2848.4543873239463,3631.694567901234,3687.711465792332,2425.586282568806,3550.772957746246,3163.255903234648
CD68_Ring,1274.5550645699475,917.3517763975159,914.6042248485576,1138.9533161354432,759.7521406714797,749.3650982699778,964.234354543074,822.2018095952025,805.5004300148887
CD8_Ring,2926.3672273936154,3136.6661078823463,2715.4203503684325,3208.4338049638454,3978.724361670609,3409.835337066611,3173.0405478468897,3993.9114134563233,3176.8983306272553
CK14_Ring,721.1399490835796,666.3542067476382,1449.0172699293414,1026.2818959901147,467.0966902787518,658.7673435064916,802.381375561635,875.4527615095393,13513.173222173955
CK19_Ring,2828.6560964259124,3046.507762454699,4662.337761639318,2248.0860097259056,2587.609375,2877.8943947007756,1615.1071466379453,2298.489696043771,2674.9824252375975
CK5_Ring,792.0647002652506,809.4471161654079,1371.0579167625233,421.30299178375805,491.55273736249353,829.0616448687224,954.0511205297344,1090.3133139174026,1760.3633974330776
CK7_Ring,1284.873618553469,2600.7668362509967,2875.2438998221205,2575.374516173134,2824.898969843713,3415.451184628305,1845.1878133666246,2947.598317460317,7031.554603126202
ER_Nuclei,4695.1382983006015,4877.586719104844,2926.0119708271413,5046.623601136654,5836.247946966525,2373.00466082725,5444.39217149428,3456.174732264784,2163.584478031694
Ecad_Ring,2575.218735392664,2502.571035025392,4333.200924543951,2355.8463160987076,4094.2446829619294,3021.4971946349015,2878.955788867405,4018.891034557216,2680.3809156878037
HER2_Ring,3654.43337481251,3802.088678657075,4450.845385086608,4335.568115091012,3809.4688718022726,9132.906026496243,3083.629706329651,3058.8484655460406,4903.602025682376
Ki67_Nuclei,1078.1745052922224,1604.504980430816,1339.241137727554,922.0904505384053,1488.5152189582468,970.7982323588006,893.4503599861548,1396.1095911505968,833.8954778543989
LamAC_Nuclei,3198.7177056966375,3412.463683583133,6248.270531359073,3178.420882213395,3602.545066281361,6768.652643462749,3016.291008547011,3568.9255975777332,4210.702553122334
PCNA_Nuclei,3055.7052868391447,3631.6764251781465,3475.7140017425722,5803.116440202633,3698.585271634448,3556.184208833091,2647.4229753797263,2943.809305548682,2221.28616588288
PD1_Ring,1697.4458997739148,1522.6699099176394,1820.901799099099,1722.38408487373,1686.2089207333447,1927.5413006993006,1610.7870833333332,1636.0586753731334,1793.2124482440818
Vim_Ring,1507.4568012177842,2810.29848349825,2074.2169667135477,1759.738694183865,3093.389023680124,7359.530240035738,1669.6844229007631,3231.089195836972,3066.497613454295
aSMA_Ring,3236.8744636502292,2334.2369416499,3584.0507407407426,3038.986591130131,2266.010506329111,3227.7136538461527,1711.9324673916797,1987.2587290048132,2920.8934531814602
pHH3_Nuclei,1460.4193200980199,1903.0364236111113,1608.4793881500907,1676.4647863247849,1953.0328177704632,1576.3744316674033,1277.603865319865,1638.094669170054,1216.4962728781754
