,BM-Her2N75-15,BM-Her2N75-17,BM-Her2N75-18
CD44_Ring,3253.5168247487436,1439.2456560509556,2954.6799812030054
CD45_Ring,2647.8136409452563,3256.5149015827706,4212.673470396248
CD4_Ring,2853.4689201187266,3450.318359499679,2849.184519798585
CD68_Ring,1037.3783420747895,1026.9008877878186,876.0092212821949
CK14_Ring,935.2613079388285,457.25548589641437,1253.2388308733453
CK19_Ring,3036.338803651057,3437.995846210787,2525.1316786749303
CK5_Ring,1378.2454975524352,1953.757761639849,1434.0750381645169
CK7_Ring,3016.8511607142823,3744.3425356834778,6147.802102293848
ER_Nuclei,11371.570053622532,5403.300966244301,9284.63796416637
Ecad_Ring,3482.190065361637,2758.785386800276,2657.897349397597
Ki67_Nuclei,1260.5260930979134,972.7165048294439,926.9949566390225
PD1_Ring,1708.6235333158677,1776.2001261770242,1716.0607842404306
Vim_Ring,2044.3319257485036,2840.197919148353,2392.946952380953
aSMA_Ring,2904.5411958184186,3204.8216409770826,2168.3748850567918
pHH3_Nuclei,1687.4124423694825,1758.5015777777796,1404.908853649073
