,JE-TMA-41_scene01,JE-TMA-41_scene02,JE-TMA-41_scene03,JE-TMA-41_scene04,JE-TMA-41_scene05,JE-TMA-41_scene06,JE-TMA-41_scene07,JE-TMA-41_scene08,JE-TMA-41_scene09,JE-TMA-41_scene11,JE-TMA-41_scene12,JE-TMA-41_scene13,JE-TMA-43_scene01,JE-TMA-43_scene02,JE-TMA-43_scene03,JE-TMA-43_scene04,JE-TMA-43_scene05,JE-TMA-43_scene06,JE-TMA-43_scene07,JE-TMA-43_scene08,JE-TMA-43_scene09,JE-TMA-43_scene10,JE-TMA-43_scene11,JE-TMA-43_scene12,JE-TMA-43_scene13,JE-TMA-62_scene01,JE-TMA-62_scene02,JE-TMA-62_scene03,JE-TMA-62_scene04,JE-TMA-62_scene05,JE-TMA-62_scene06,JE-TMA-62_scene07,JE-TMA-62_scene08,JE-TMA-62_scene09,JE-TMA-62_scene10,JE-TMA-62_scene11,JE-TMA-62_scene12,JE-TMA-62_scene13
HER2_cellmem25,161.0525101921957,133.92217014295758,157.19241025641026,273.1229611853605,178.89600000000002,223.44625025457637,167.4415071770335,2303.5709421641795,6689.836306058223,4439.890249999999,778.0058608896932,1140.059419083072,169.68178763567718,121.51749560393608,185.0864302981467,232.279219047619,160.64766326670315,174.80333264148328,163.32762730243616,1903.6745245310233,5161.193636075951,4567.007699331449,3796.0932388268184,830.3166666666667,712.7725521044994,272.1734188034188,287.33070734551103,330.1514608616499,351.1374802494803,469.86853887053485,489.69645164211556,1272.253333333333,5582.723552507745,,6886.938157349896,9222.77475929364,1021.43136532122,906.3025739989853
Vim_nucadj2,2565.622579284691,11756.477792053178,1125.1465768407716,2762.6404510580874,249.1967455403214,147.29839125374127,3036.987731500573,145.36182373198653,160.80126457566323,,3886.7348745672916,4448.594889136976,3127.1817728359392,8369.908523046415,760.6033873203842,3323.5224971827806,757.9419371932175,130.80734903346087,2920.6410560762797,170.152556561659,177.53879975491446,210.2852914367886,233.82577155253728,2639.8895887216318,2391.0806107657972,364.4884455743489,774.6267115682995,427.25891542381737,659.7697342500983,132.91330172948457,135.68938267631734,548.3624769143346,192.67539581256233,155.0004953189449,259.38779317637886,251.48604563882765,310.85868858253787,625.8883880255169
CD20_perinuc5,12117.367797921685,1734.661786339755,1730.4978894695885,2233.9396955817724,1801.0960370835955,1781.1689705882354,13365.001238848705,1694.9837590548882,1812.2251644903763,1709.2140623343676,1791.6941103752756,1745.5719577912967,11779.778491448062,1696.1360152118764,1688.9938844626706,1974.6362389733426,1721.100954265784,1756.5495098039212,21120.353021103234,1733.8702081558126,1721.7535441324262,1654.6335258217848,1642.610763546798,1740.5102448468178,1709.5433422912306,6423.713613175174,1980.4479611208292,1811.4514496095449,1739.5537596840347,1763.586480415555,1728.092865998257,13576.93316323987,1760.500399017802,1738.4690568084898,2123.225412214457,2054.725326702037,1750.0000575506451,1742.6518462418765
CD3_perinuc5,2828.5383320639758,1500.8229617380862,1600.3014920191538,1389.8927018874078,1612.6896242318776,1537.6986802277584,2113.3463357164737,1540.87464,1766.5586501154135,1517.7075690700806,1710.735294117647,1650.9323907840685,2111.761511987159,1275.3008704254062,1275.2254768485063,1419.3725449711574,1298.4491540887586,1292.9390981567453,1784.574432624113,1379.9971956237546,1342.6237575128002,1302.157290792043,1281.2171849055892,1319.2627553742761,1289.5939553429025,2707.25865988066,797.935636081974,885.2292904471848,704.1781857148582,827.0670919994897,821.6671773157236,1131.8015543071156,853.0573145604395,846.1564555180923,879.8865142857143,883.482002091394,904.809243399867,852.5276165079545
CD31_perinuc5,338.416037330104,,,348.7849631324689,,,319.2643796992482,,,,111.47942704337213,,881.9697368421046,,184.7927157682708,340.689903142999,,,505.198026250794,,,,,,,1333.0628457451505,,121.00633501683504,543.6381177739574,137.65962649523394,129.18252489997923,1060.2570760538692,113.57523900124328,144.95875029617537,100.66978922716629,110.8589540852201,155.0612991041046,145.3042075107325
CD4_perinuc5,4585.088080648795,326.5132492528643,378.58914368250913,479.7841605659022,498.58707174103387,466.5527461771594,2120.0107778981574,371.1246443833944,469.8030634573304,429.36880887810446,480.6641601146055,470.468501152474,3805.2544983989856,134.667903445438,138.48490171078885,310.9032631434075,127.66584062717818,150.9483994260769,2610.559787397542,135.38030757056117,120.19612703003759,153.49517393675202,136.12289427741206,147.41729302170697,146.22500775877594,1737.8629971988796,138.9627865961199,175.48083928388328,225.32301267468307,196.68669997223256,185.29779617072194,1837.1915532859596,158.2231191203905,155.08789970890138,190.37680995061277,165.32250574961355,210.48533881738504,179.57201302377024
CD44_perinuc5,970.0298032219188,1419.870430873504,943.0056318681311,602.8403573536234,196.81412138685593,167.3901438702086,682.1850736919682,120.52242493984726,121.13241362523547,122.74123323599184,4627.844780690537,4400.00385647808,2294.884743342774,2234.415973577584,1583.056112550923,1288.366245940074,660.3128217248698,647.5550000000001,1659.296285384421,590.219796610791,585.3519750367107,577.7015988861299,568.2180780004023,4784.286499904817,4358.883250903031,1419.9526399132442,2076.401602564103,1444.143806869727,882.0629545454545,682.1249676748894,663.5883366434955,1568.175495198643,603.3256543048644,613.0485982755146,671.0481468021887,665.7442699474382,4170.298553261255,3245.113446217814
CD45_perinuc5,3426.0143224746776,2284.5909611522625,2432.366127607233,2047.298000669232,2434.2110393942744,2595.125317855169,2526.436595586414,2514.488825320094,2728.1153595422743,2398.794966286622,2697.226443178767,2800.849035109038,2733.572899553296,1575.2935501363281,1507.551077404496,1639.9703933452167,1513.8081733615222,1595.6452687550575,2437.685770324114,1477.3791459680747,1548.3481978895095,1482.784406001601,1512.4145518425294,1543.581871919317,1524.8558892724925,6000.486135904908,278.7798483098214,148.15513466548865,326.2668142666875,138.45662682887613,154.3191675786005,3365.1199755485904,121.0109989129994,136.72610471158157,134.1650639059133,139.5809436026936,161.03559045163374,159.8494460014255
CD68_perinuc5,635.4706517832851,205.62481361260726,477.1127054175396,380.2449409937888,252.20268582887687,258.36963972234656,752.5129650988404,230.08622939560436,300.0212750966258,130.88463472916044,196.9348424675362,308.12255863414816,1307.956000142897,349.9826044142615,669.7973790501287,414.4056454443424,293.2751876379691,304.7704918032787,1828.991815165754,387.076226066352,286.77973568281936,184.1137612639916,145.39010999283437,327.2336699921903,285.49103572060125,1078.2183023825642,364.6152195148337,701.2950803612429,545.9103255813947,587.8456905025432,413.43406921453857,1734.5938165851176,490.36285424893845,466.1747439450536,270.88999531050945,329.3253612926606,841.6763372316453,717.9086090146749
CD8_perinuc5,1434.6952260083094,487.9554799932368,639.7718613819093,1330.0263192439538,758.1727928737363,720.8348626885667,1034.0195454611555,869.2264587002096,879.7671805634488,689.4958216018427,814.6134694094573,807.7432741935484,970.8462989011015,168.7908560084932,148.74782129156011,399.49811398963794,391.59825566839777,,306.71930301613867,,,,,,,1540.1523034889042,722.756462074775,458.10060556440123,902.0824527047491,405.9355085157511,365.11182456140347,992.6838712887898,500.7174943711627,295.5840998193543,534.8542912695073,343.50029296875005,341.9685550935551,407.8812176402481
