,JE-TMA-41,JE-TMA-43,JE-TMA-62
CK19_cytoplasm,2307.679139676114,4541.716119516554,3120.084359017648
HER2_cellmem25,554.4647423791337,319.68491152621596,3109.964417601524
Vim_nucadj2,2591.978646444696,2705.1100998650472,404.7200261926
CD20_perinuc5,2199.4317424812,3662.9702541091656,2012.181623274947
CD3_perinuc5,1687.63225950783,1880.9960401257379,1106.002592632625
CD31_perinuc5,209.99644984038918,268.1639885468862,515.0568282828283
CD4_perinuc5,971.4324928986214,1338.4098541868073,586.480030325476
CD44_perinuc5,1481.2212699656673,2347.5454313725495,1576.4429403906934
CD45_perinuc5,2673.0746049759928,2130.550630539582,1589.1598427018248
CD68_perinuc5,377.9355997872618,586.9880218086428,782.6455914408444
CD8_perinuc5,902.4168304926037,322.5980652348284,787.5780828084178
PD1_perinuc5,469.5066490862871,409.3810641517248,341.6959719255416
PDPN_perinuc5,262.5445884477528,392.8121277126465,574.8415104166671
aSMA_perinuc5,616.165536486839,3308.5401107672515,1650.5527898600974
CK14_cytoplasm,423.22030228003337,575.317423775499,191.09753330955817
CK17_cytoplasm,1677.4209463365628,477.73624401913816,1195.1686463809401
CK5_cytoplasm,922.566767677991,893.1770092679742,1653.9068972099858
CK7_cytoplasm,1812.4544576410062,4061.0408593529255,3598.1201347566976
Ecad_cytoplasm,3679.2476298525316,5397.390376487874,6394.40740709316
Ki67_nuclei,12118.42916819814,2165.6467247276705,2684.310721993673
LamAC_nuclei,2523.5251740317763,2938.259139566967,1671.314258297473
PCNA_nuclei,2911.5297290548424,1822.3044228282506,1814.9767441860465
pHH3_nuclei,323.15807521490876,214.60878540927317,304.91377185092483
ER_nuclei,756.1924215462182,691.8787368394339,726.4262734881593
