,rounds,color,imagetype,scene,marker
Registered-R1_CK7.CoxIV.LaminB1.Ecad_4165NPanc-73-Scene-001_c1_ORG.tif,R1,c1,ORG,4165NPanc-73-Scene-001,DAPI
Registered-R1_CK7.CoxIV.LaminB1.Ecad_4165NPanc-73-Scene-001_c2_ORG.tif,R1,c2,ORG,4165NPanc-73-Scene-001,CK7
Registered-R1_CK7.CoxIV.LaminB1.Ecad_4165NPanc-73-Scene-001_c3_ORG.tif,R1,c3,ORG,4165NPanc-73-Scene-001,CoxIV
Registered-R1_CK7.CoxIV.LaminB1.Ecad_4165NPanc-73-Scene-001_c4_ORG.tif,R1,c4,ORG,4165NPanc-73-Scene-001,LaminB1
Registered-R1_CK7.CoxIV.LaminB1.Ecad_4165NPanc-73-Scene-001_c5_ORG.tif,R1,c5,ORG,4165NPanc-73-Scene-001,Ecad
Registered-R1_blank.blank.blank.blank_4165NPanc-74-Scene-001_c1_ORG.tif,R1,c1,ORG,4165NPanc-74-Scene-001,DAPI
Registered-R1_blank.blank.blank.blank_4165NPanc-74-Scene-001_c2_ORG.tif,R1,c2,ORG,4165NPanc-74-Scene-001,blank
Registered-R1_blank.blank.blank.blank_4165NPanc-74-Scene-001_c3_ORG.tif,R1,c3,ORG,4165NPanc-74-Scene-001,blank
Registered-R1_blank.blank.blank.blank_4165NPanc-74-Scene-001_c4_ORG.tif,R1,c4,ORG,4165NPanc-74-Scene-001,blank
Registered-R1_blank.blank.blank.blank_4165NPanc-74-Scene-001_c5_ORG.tif,R1,c5,ORG,4165NPanc-74-Scene-001,blank
Registered-R1_CK7.CoxIV.LaminB1.Ecad_4165NPanc-75-Scene-001_c1_ORG.tif,R1,c1,ORG,4165NPanc-75-Scene-001,DAPI
Registered-R1_CK7.CoxIV.LaminB1.Ecad_4165NPanc-75-Scene-001_c2_ORG.tif,R1,c2,ORG,4165NPanc-75-Scene-001,CK7
Registered-R1_CK7.CoxIV.LaminB1.Ecad_4165NPanc-75-Scene-001_c3_ORG.tif,R1,c3,ORG,4165NPanc-75-Scene-001,CoxIV
Registered-R1_CK7.CoxIV.LaminB1.Ecad_4165NPanc-75-Scene-001_c4_ORG.tif,R1,c4,ORG,4165NPanc-75-Scene-001,LaminB1
Registered-R1_CK7.CoxIV.LaminB1.Ecad_4165NPanc-75-Scene-001_c5_ORG.tif,R1,c5,ORG,4165NPanc-75-Scene-001,Ecad
Registered-R1_blank.blank.blank.blank_4165NPanc-76-Scene-001_c1_ORG.tif,R1,c1,ORG,4165NPanc-76-Scene-001,DAPI
Registered-R1_blank.blank.blank.blank_4165NPanc-76-Scene-001_c2_ORG.tif,R1,c2,ORG,4165NPanc-76-Scene-001,blank
Registered-R1_blank.blank.blank.blank_4165NPanc-76-Scene-001_c3_ORG.tif,R1,c3,ORG,4165NPanc-76-Scene-001,blank
Registered-R1_blank.blank.blank.blank_4165NPanc-76-Scene-001_c4_ORG.tif,R1,c4,ORG,4165NPanc-76-Scene-001,blank
Registered-R1_blank.blank.blank.blank_4165NPanc-76-Scene-001_c5_ORG.tif,R1,c5,ORG,4165NPanc-76-Scene-001,blank
Registered-R1_CK7.CoxIV.LaminB1.Ecad_4165NPanc-77-Scene-001_c1_ORG.tif,R1,c1,ORG,4165NPanc-77-Scene-001,DAPI
Registered-R1_CK7.CoxIV.LaminB1.Ecad_4165NPanc-77-Scene-001_c2_ORG.tif,R1,c2,ORG,4165NPanc-77-Scene-001,CK7
Registered-R1_CK7.CoxIV.LaminB1.Ecad_4165NPanc-77-Scene-001_c3_ORG.tif,R1,c3,ORG,4165NPanc-77-Scene-001,CoxIV
