,rounds,color,imagetype,scene,marker
Registered-R0_R0c2.R0c3.R0c4.R0c5_BC44290-146-Scene-01_c1_ORG.tif,R0,c1,ORG,BC44290-146-Scene-01,DAPI
Registered-R0_R0c2.R0c3.R0c4.R0c5_BC44290-146-Scene-01_c2_ORG.tif,R0,c2,ORG,BC44290-146-Scene-01,R0c2
Registered-R0_R0c2.R0c3.R0c4.R0c5_BC44290-146-Scene-01_c3_ORG.tif,R0,c3,ORG,BC44290-146-Scene-01,R0c3
Registered-R0_R0c2.R0c3.R0c4.R0c5_BC44290-146-Scene-01_c4_ORG.tif,R0,c4,ORG,BC44290-146-Scene-01,R0c4
Registered-R0_R0c2.R0c3.R0c4.R0c5_BC44290-146-Scene-01_c5_ORG.tif,R0,c5,ORG,BC44290-146-Scene-01,R0c5
Registered-R1_CD20.CD8.CD4.CK19_BC44290-146-Scene-01_c1_ORG.tif,R1,c1,ORG,BC44290-146-Scene-01,DAPI
Registered-R1_CD20.CD8.CD4.CK19_BC44290-146-Scene-01_c2_ORG.tif,R1,c2,ORG,BC44290-146-Scene-01,CD20
Registered-R1_CD20.CD8.CD4.CK19_BC44290-146-Scene-01_c3_ORG.tif,R1,c3,ORG,BC44290-146-Scene-01,CD8
Registered-R1_CD20.CD8.CD4.CK19_BC44290-146-Scene-01_c4_ORG.tif,R1,c4,ORG,BC44290-146-Scene-01,CD4
Registered-R1_CD20.CD8.CD4.CK19_BC44290-146-Scene-01_c5_ORG.tif,R1,c5,ORG,BC44290-146-Scene-01,CK19
Registered-R2_PCNA.HER2.ER.CD45_BC44290-146-Scene-01_c1_ORG.tif,R2,c1,ORG,BC44290-146-Scene-01,DAPI
Registered-R2_PCNA.HER2.ER.CD45_BC44290-146-Scene-01_c2_ORG.tif,R2,c2,ORG,BC44290-146-Scene-01,PCNA
Registered-R2_PCNA.HER2.ER.CD45_BC44290-146-Scene-01_c3_ORG.tif,R2,c3,ORG,BC44290-146-Scene-01,HER2
Registered-R2_PCNA.HER2.ER.CD45_BC44290-146-Scene-01_c4_ORG.tif,R2,c4,ORG,BC44290-146-Scene-01,ER
Registered-R2_PCNA.HER2.ER.CD45_BC44290-146-Scene-01_c5_ORG.tif,R2,c5,ORG,BC44290-146-Scene-01,CD45
Registered-R3_pHH3.CK14.CD44.CK5_BC44290-146-Scene-01_c1_ORG.tif,R3,c1,ORG,BC44290-146-Scene-01,DAPI
Registered-R3_pHH3.CK14.CD44.CK5_BC44290-146-Scene-01_c2_ORG.tif,R3,c2,ORG,BC44290-146-Scene-01,pHH3
Registered-R3_pHH3.CK14.CD44.CK5_BC44290-146-Scene-01_c3_ORG.tif,R3,c3,ORG,BC44290-146-Scene-01,CK14
Registered-R3_pHH3.CK14.CD44.CK5_BC44290-146-Scene-01_c4_ORG.tif,R3,c4,ORG,BC44290-146-Scene-01,CD44
Registered-R3_pHH3.CK14.CD44.CK5_BC44290-146-Scene-01_c5_ORG.tif,R3,c5,ORG,BC44290-146-Scene-01,CK5
Registered-R4_Vim.CK7.PD1.LamAC_BC44290-146-Scene-01_c1_ORG.tif,R4,c1,ORG,BC44290-146-Scene-01,DAPI
Registered-R4_Vim.CK7.PD1.LamAC_BC44290-146-Scene-01_c2_ORG.tif,R4,c2,ORG,BC44290-146-Scene-01,Vim
Registered-R4_Vim.CK7.PD1.LamAC_BC44290-146-Scene-01_c3_ORG.tif,R4,c3,ORG,BC44290-146-Scene-01,CK7
Registered-R4_Vim.CK7.PD1.LamAC_BC44290-146-Scene-01_c4_ORG.tif,R4,c4,ORG,BC44290-146-Scene-01,PD1
Registered-R4_Vim.CK7.PD1.LamAC_BC44290-146-Scene-01_c5_ORG.tif,R4,c5,ORG,BC44290-146-Scene-01,LamAC
Registered-R5_aSMA.CD68.Ki67.Ecad_BC44290-146-Scene-01_c1_ORG.tif,R5,c1,ORG,BC44290-146-Scene-01,DAPI
Registered-R5_aSMA.CD68.Ki67.Ecad_BC44290-146-Scene-01_c2_ORG.tif,R5,c2,ORG,BC44290-146-Scene-01,aSMA
Registered-R5_aSMA.CD68.Ki67.Ecad_BC44290-146-Scene-01_c3_ORG.tif,R5,c3,ORG,BC44290-146-Scene-01,CD68
Registered-R5_aSMA.CD68.Ki67.Ecad_BC44290-146-Scene-01_c4_ORG.tif,R5,c4,ORG,BC44290-146-Scene-01,Ki67
Registered-R5_aSMA.CD68.Ki67.Ecad_BC44290-146-Scene-01_c5_ORG.tif,R5,c5,ORG,BC44290-146-Scene-01,Ecad
Registered-R6_CK17.PDPN.CD31.CD3_BC44290-146-Scene-01_c1_ORG.tif,R6,c1,ORG,BC44290-146-Scene-01,DAPI
Registered-R6_CK17.PDPN.CD31.CD3_BC44290-146-Scene-01_c2_ORG.tif,R6,c2,ORG,BC44290-146-Scene-01,CK17
Registered-R6_CK17.PDPN.CD31.CD3_BC44290-146-Scene-01_c3_ORG.tif,R6,c3,ORG,BC44290-146-Scene-01,PDPN
