,rounds,color,imagetype,scene,marker,tissue,exposure,round_int
Registered-R0_R0c2.R0c3.R0c4.R0c5_BC44290-146-Scene-01_c1_ORG.tif,R0,c1,ORG,BC44290-146-Scene-01,DAPI,BC44290-146,15.0,0.0
Registered-R0_R0c2.R0c3.R0c4.R0c5_BC44290-146-Scene-01_c2_ORG.tif,R0,c2,ORG,BC44290-146-Scene-01,R0c2,BC44290-146,50.0,0.0
Registered-R0_R0c2.R0c3.R0c4.R0c5_BC44290-146-Scene-01_c3_ORG.tif,R0,c3,ORG,BC44290-146-Scene-01,R0c3,BC44290-146,200.0,0.0
Registered-R0_R0c2.R0c3.R0c4.R0c5_BC44290-146-Scene-01_c4_ORG.tif,R0,c4,ORG,BC44290-146-Scene-01,R0c4,BC44290-146,500.0,0.0
Registered-R0_R0c2.R0c3.R0c4.R0c5_BC44290-146-Scene-01_c5_ORG.tif,R0,c5,ORG,BC44290-146-Scene-01,R0c5,BC44290-146,500.0,0.0
Registered-R1_CD20.CD8.CD4.CK19_BC44290-146-Scene-01_c1_ORG.tif,R1,c1,ORG,BC44290-146-Scene-01,DAPI,BC44290-146,15.0,1.0
Registered-R1_CD20.CD8.CD4.CK19_BC44290-146-Scene-01_c2_ORG.tif,R1,c2,ORG,BC44290-146-Scene-01,CD20,BC44290-146,100.0,1.0
Registered-R1_CD20.CD8.CD4.CK19_BC44290-146-Scene-01_c3_ORG.tif,R1,c3,ORG,BC44290-146-Scene-01,CD8,BC44290-146,500.0,1.0
Registered-R1_CD20.CD8.CD4.CK19_BC44290-146-Scene-01_c4_ORG.tif,R1,c4,ORG,BC44290-146-Scene-01,CD4,BC44290-146,250.0,1.0
Registered-R1_CD20.CD8.CD4.CK19_BC44290-146-Scene-01_c5_ORG.tif,R1,c5,ORG,BC44290-146-Scene-01,CK19,BC44290-146,60.0,1.0
Registered-R2_PCNA.HER2.ER.CD45_BC44290-146-Scene-01_c1_ORG.tif,R2,c1,ORG,BC44290-146-Scene-01,DAPI,BC44290-146,15.0,2.0
Registered-R2_PCNA.HER2.ER.CD45_BC44290-146-Scene-01_c2_ORG.tif,R2,c2,ORG,BC44290-146-Scene-01,PCNA,BC44290-146,50.0,2.0
Registered-R2_PCNA.HER2.ER.CD45_BC44290-146-Scene-01_c3_ORG.tif,R2,c3,ORG,BC44290-146-Scene-01,HER2,BC44290-146,50.0,2.0
Registered-R2_PCNA.HER2.ER.CD45_BC44290-146-Scene-01_c4_ORG.tif,R2,c4,ORG,BC44290-146-Scene-01,ER,BC44290-146,500.0,2.0
Registered-R2_PCNA.HER2.ER.CD45_BC44290-146-Scene-01_c5_ORG.tif,R2,c5,ORG,BC44290-146-Scene-01,CD45,BC44290-146,500.0,2.0
Registered-R3_pHH3.CK14.CD44.CK5_BC44290-146-Scene-01_c1_ORG.tif,R3,c1,ORG,BC44290-146-Scene-01,DAPI,BC44290-146,15.0,3.0
Registered-R3_pHH3.CK14.CD44.CK5_BC44290-146-Scene-01_c2_ORG.tif,R3,c2,ORG,BC44290-146-Scene-01,pHH3,BC44290-146,20.0,3.0
Registered-R3_pHH3.CK14.CD44.CK5_BC44290-146-Scene-01_c3_ORG.tif,R3,c3,ORG,BC44290-146-Scene-01,CK14,BC44290-146,40.0,3.0
