,0,1,2,3,4
R2_PCNA_HER2_ER_CD45_BC44290-146_2020_01_08__12_13__2905-1(Good)-Scene-1.czi,15.0,50.0,50.0,500.0,500.0
R8_LamB1_AR_ColIV_ColI_BC44290-146_2020_01_14__10_07__2927-Scene-1.czi,15.0,30.0,250.0,200.0,20.0
R0_R0c2_R0c3_R0c4_R0c5_BC44290-146_2020_01_06__15_55__2897-Scene-1.czi,15.0,50.0,200.0,500.0,500.0
R3_pHH3_CK14_CD44_CK5_BC44290-146_2020_01_09__09_34__2911-Scene-1.czi,15.0,20.0,40.0,75.0,40.0
R11_aSMA_AR_pAKT_CD44_BC44290-146_2020_01_21__10_45__2964-Scene-1.czi,10.0,50.0,250.0,500.0,150.0
R4_Vim_CK7_PD1_LamAC_BC44290-146_2020_01_10__10_59__2915-Scene-1.czi,15.0,20.0,35.0,800.0,250.0
R6_CK17_PDPN_CD31_CD3_BC44290-146_2020_01_12__14_00__2923-Scene-1.czi,15.0,30.0,500.0,250.0,400.0
R7_CK5P_CD8R_CD4R_CD20P_BC44290-146_2020_01_13__12_04__2926-Scene-1.czi,15.0,30.0,500.0,250.0,500.0
R1_CD20_CD8_CD4_CK19_BC44290-146_2020_01_07__10_31__2900-Scene-1.czi,15.0,100.0,500.0,250.0,60.0
R8Q_R8Qc2_R8Qc3_R8Qc4_R8Qc5_BC44290-146_2020_01_14__23_35__2933-Scene-1.czi,15.0,50.0,200.0,500.0,500.0
R5_aSMA_CD68_Ki67_Ecad_BC44290-146_2020_01_11__10_33__2920-Scene-1.czi,15.0,50.0,200.0,400.0,200.0
