,rounds,color,imagetype,scene,marker
Registered-(R2)_PCNA.Her2.ER.CD45_44290-113_2017_10_25__4615_c1_ORG.tif,(R2),c1,ORG,44290-113,DAPI
Registered-(R2)_PCNA.Her2.ER.CD45_44290-113_2017_10_25__4615_c2_ORG.tif,(R2),c2,ORG,44290-113,PCNA
Registered-(R2)_PCNA.Her2.ER.CD45_44290-113_2017_10_25__4615_c3_ORG.tif,(R2),c3,ORG,44290-113,Her2
Registered-(R2)_PCNA.Her2.ER.CD45_44290-113_2017_10_25__4615_c4_ORG.tif,(R2),c4,ORG,44290-113,ER
Registered-(R2)_PCNA.Her2.ER.CD45_44290-113_2017_10_25__4615_c5_ORG.tif,(R2),c5,ORG,44290-113,CD45
Registered-(R2)_PCNA.Her2.ER.CD45_44294-117_2017_10_25__4616_c1_ORG.tif,(R2),c1,ORG,44294-117,DAPI
Registered-(R2)_PCNA.Her2.ER.CD45_44294-117_2017_10_25__4616_c2_ORG.tif,(R2),c2,ORG,44294-117,PCNA
Registered-(R2)_PCNA.Her2.ER.CD45_44294-117_2017_10_25__4616_c3_ORG.tif,(R2),c3,ORG,44294-117,Her2
Registered-(R2)_PCNA.Her2.ER.CD45_44294-117_2017_10_25__4616_c4_ORG.tif,(R2),c4,ORG,44294-117,ER
Registered-(R2)_PCNA.Her2.ER.CD45_44294-117_2017_10_25__4616_c5_ORG.tif,(R2),c5,ORG,44294-117,CD45
Registered-(R3)_pH3.CK14.CD44.CK5_44290-114_2017_10_26__4665_c1_ORG.tif,(R3),c1,ORG,44290-114,DAPI
Registered-(R3)_pH3.CK14.CD44.CK5_44290-114_2017_10_26__4665_c2_ORG.tif,(R3),c2,ORG,44290-114,pH3
Registered-(R3)_pH3.CK14.CD44.CK5_44290-114_2017_10_26__4665_c3_ORG.tif,(R3),c3,ORG,44290-114,CK14
Registered-(R3)_pH3.CK14.CD44.CK5_44290-114_2017_10_26__4665_c4_ORG.tif,(R3),c4,ORG,44290-114,CD44
Registered-(R3)_pH3.CK14.CD44.CK5_44290-114_2017_10_26__4665_c5_ORG.tif,(R3),c5,ORG,44290-114,CK5
Registered-(R3)_pH3.CK14.CD44.CK5_44294-118_2017_10_26__4666-1_c1_ORG.tif,(R3),c1,ORG,44294-118,DAPI
Registered-(R3)_pH3.CK14.CD44.CK5_44294-118_2017_10_26__4666-1_c2_ORG.tif,(R3),c2,ORG,44294-118,pH3
Registered-(R3)_pH3.CK14.CD44.CK5_44294-118_2017_10_26__4666-1_c3_ORG.tif,(R3),c3,ORG,44294-118,CK14
Registered-(R3)_pH3.CK14.CD44.CK5_44294-118_2017_10_26__4666-1_c4_ORG.tif,(R3),c4,ORG,44294-118,CD44
Registered-(R3)_pH3.CK14.CD44.CK5_44294-118_2017_10_26__4666-1_c5_ORG.tif,(R3),c5,ORG,44294-118,CK5
Registered-(R4)_Vim.CK7.PD1.LaminAC_44290-115_2017_10_26__4667-1_c1_ORG.tif,(R4),c1,ORG,44290-115,DAPI
Registered-(R4)_Vim.CK7.PD1.LaminAC_44290-115_2017_10_26__4667-1_c2_ORG.tif,(R4),c2,ORG,44290-115,Vim
Registered-(R4)_Vim.CK7.PD1.LaminAC_44290-115_2017_10_26__4667-1_c3_ORG.tif,(R4),c3,ORG,44290-115,CK7
Registered-(R4)_Vim.CK7.PD1.LaminAC_44290-115_2017_10_26__4667-1_c4_ORG.tif,(R4),c4,ORG,44290-115,PD1
Registered-(R4)_Vim.CK7.PD1.LaminAC_44290-115_2017_10_26__4667-1_c5_ORG.tif,(R4),c5,ORG,44290-115,LaminAC
Registered-(R4)_Vim.CK7.PD1.LaminAC_44294-119_2017_10_26__4668_c1_ORG.tif,(R4),c1,ORG,44294-119,DAPI
Registered-(R4)_Vim.CK7.PD1.LaminAC_44294-119_2017_10_26__4668_c2_ORG.tif,(R4),c2,ORG,44294-119,Vim
Registered-(R4)_Vim.CK7.PD1.LaminAC_44294-119_2017_10_26__4668_c3_ORG.tif,(R4),c3,ORG,44294-119,CK7
Registered-(R4)_Vim.CK7.PD1.LaminAC_44294-119_2017_10_26__4668_c4_ORG.tif,(R4),c4,ORG,44294-119,PD1
Registered-(R4)_Vim.CK7.PD1.LaminAC_44294-119_2017_10_26__4668_c5_ORG.tif,(R4),c5,ORG,44294-119,LaminAC
Registered-(R5)_aSMA.CD68.Ki67.Ecad_44290-116_2017_10_26__4669_c1_ORG.tif,(R5),c1,ORG,44290-116,DAPI
Registered-(R5)_aSMA.CD68.Ki67.Ecad_44290-116_2017_10_26__4669_c2_ORG.tif,(R5),c2,ORG,44290-116,aSMA
Registered-(R5)_aSMA.CD68.Ki67.Ecad_44290-116_2017_10_26__4669_c3_ORG.tif,(R5),c3,ORG,44290-116,CD68
Registered-(R5)_aSMA.CD68.Ki67.Ecad_44290-116_2017_10_26__4669_c4_ORG.tif,(R5),c4,ORG,44290-116,Ki67
Registered-(R5)_aSMA.CD68.Ki67.Ecad_44290-116_2017_10_26__4669_c5_ORG.tif,(R5),c5,ORG,44290-116,Ecad
Registered-(R5)_aSMA.CD68.Ki67.Ecad_44294-120_2017_10_26__4670_c1_ORG.tif,(R5),c1,ORG,44294-120,DAPI
Registered-(R5)_aSMA.CD68.Ki67.Ecad_44294-120_2017_10_26__4670_c2_ORG.tif,(R5),c2,ORG,44294-120,aSMA
Registered-(R5)_aSMA.CD68.Ki67.Ecad_44294-120_2017_10_26__4670_c3_ORG.tif,(R5),c3,ORG,44294-120,CD68
Registered-(R5)_aSMA.CD68.Ki67.Ecad_44294-120_2017_10_26__4670_c4_ORG.tif,(R5),c4,ORG,44294-120,Ki67
Registered-(R5)_aSMA.CD68.Ki67.Ecad_44294-120_2017_10_26__4670_c5_ORG.tif,(R5),c5,ORG,44294-120,Ecad
Registered-(R6)_LaminB1.Ecad.CD44.LaminAC+CD45_44290-113_2017_12_01__5463_c1_ORG.tif,(R6),c1,ORG,44290-113,DAPI
Registered-(R6)_LaminB1.Ecad.CD44.LaminAC+CD45_44290-113_2017_12_01__5463_c2_ORG.tif,(R6),c2,ORG,44290-113,LaminB1
Registered-(R6)_LaminB1.Ecad.CD44.LaminAC+CD45_44290-113_2017_12_01__5463_c3_ORG.tif,(R6),c3,ORG,44290-113,Ecad
Registered-(R6)_LaminB1.Ecad.CD44.LaminAC+CD45_44290-113_2017_12_01__5463_c4_ORG.tif,(R6),c4,ORG,44290-113,CD44
Registered-(R6)_LaminB1.Ecad.CD44.LaminAC+CD45_44290-113_2017_12_01__5463_c5_ORG.tif,(R6),c5,ORG,44290-113,LaminAC+CD45
Registered-(R6)_LaminB1.Ecad.CD44.LaminAC+CD45_44290-114_2017_12_01__5464_c1_ORG.tif,(R6),c1,ORG,44290-114,DAPI
Registered-(R6)_LaminB1.Ecad.CD44.LaminAC+CD45_44290-114_2017_12_01__5464_c2_ORG.tif,(R6),c2,ORG,44290-114,LaminB1
Registered-(R6)_LaminB1.Ecad.CD44.LaminAC+CD45_44290-114_2017_12_01__5464_c3_ORG.tif,(R6),c3,ORG,44290-114,Ecad
Registered-(R6)_LaminB1.Ecad.CD44.LaminAC+CD45_44290-114_2017_12_01__5464_c4_ORG.tif,(R6),c4,ORG,44290-114,CD44
Registered-(R6)_LaminB1.Ecad.CD44.LaminAC+CD45_44290-114_2017_12_01__5464_c5_ORG.tif,(R6),c5,ORG,44290-114,LaminAC+CD45
Registered-(R6)_LaminB1.Ecad.CD44.LaminAC+CD45_44290-115_2017_12_01__5465_c1_ORG.tif,(R6),c1,ORG,44290-115,DAPI
Registered-(R6)_LaminB1.Ecad.CD44.LaminAC+CD45_44290-115_2017_12_01__5465_c2_ORG.tif,(R6),c2,ORG,44290-115,LaminB1
Registered-(R6)_LaminB1.Ecad.CD44.LaminAC+CD45_44290-115_2017_12_01__5465_c3_ORG.tif,(R6),c3,ORG,44290-115,Ecad
Registered-(R6)_LaminB1.Ecad.CD44.LaminAC+CD45_44290-115_2017_12_01__5465_c4_ORG.tif,(R6),c4,ORG,44290-115,CD44
Registered-(R6)_LaminB1.Ecad.CD44.LaminAC+CD45_44290-115_2017_12_01__5465_c5_ORG.tif,(R6),c5,ORG,44290-115,LaminAC+CD45
Registered-(R6)_LaminB1.Ecad.CD44.LaminAC+CD45_44290-116_2017_12_01__5466_c1_ORG.tif,(R6),c1,ORG,44290-116,DAPI
Registered-(R6)_LaminB1.Ecad.CD44.LaminAC+CD45_44290-116_2017_12_01__5466_c2_ORG.tif,(R6),c2,ORG,44290-116,LaminB1
Registered-(R6)_LaminB1.Ecad.CD44.LaminAC+CD45_44290-116_2017_12_01__5466_c3_ORG.tif,(R6),c3,ORG,44290-116,Ecad
Registered-(R6)_LaminB1.Ecad.CD44.LaminAC+CD45_44290-116_2017_12_01__5466_c4_ORG.tif,(R6),c4,ORG,44290-116,CD44
Registered-(R6)_LaminB1.Ecad.CD44.LaminAC+CD45_44290-116_2017_12_01__5466_c5_ORG.tif,(R6),c5,ORG,44290-116,LaminAC+CD45
Registered-(R6)_LaminB1.Ecad.CD44.LaminAC+CD45_44294-117_2017_12_01__5467_c1_ORG.tif,(R6),c1,ORG,44294-117,DAPI
Registered-(R6)_LaminB1.Ecad.CD44.LaminAC+CD45_44294-117_2017_12_01__5467_c2_ORG.tif,(R6),c2,ORG,44294-117,LaminB1
Registered-(R6)_LaminB1.Ecad.CD44.LaminAC+CD45_44294-117_2017_12_01__5467_c3_ORG.tif,(R6),c3,ORG,44294-117,Ecad
Registered-(R6)_LaminB1.Ecad.CD44.LaminAC+CD45_44294-117_2017_12_01__5467_c4_ORG.tif,(R6),c4,ORG,44294-117,CD44
Registered-(R6)_LaminB1.Ecad.CD44.LaminAC+CD45_44294-117_2017_12_01__5467_c5_ORG.tif,(R6),c5,ORG,44294-117,LaminAC+CD45
Registered-(R6)_LaminB1.Ecad.CD44.LaminAC+CD45_44294-118_2017_12_01__5468_c1_ORG.tif,(R6),c1,ORG,44294-118,DAPI
Registered-(R6)_LaminB1.Ecad.CD44.LaminAC+CD45_44294-118_2017_12_01__5468_c2_ORG.tif,(R6),c2,ORG,44294-118,LaminB1
Registered-(R6)_LaminB1.Ecad.CD44.LaminAC+CD45_44294-118_2017_12_01__5468_c3_ORG.tif,(R6),c3,ORG,44294-118,Ecad
Registered-(R6)_LaminB1.Ecad.CD44.LaminAC+CD45_44294-118_2017_12_01__5468_c4_ORG.tif,(R6),c4,ORG,44294-118,CD44
Registered-(R6)_LaminB1.Ecad.CD44.LaminAC+CD45_44294-118_2017_12_01__5468_c5_ORG.tif,(R6),c5,ORG,44294-118,LaminAC+CD45
Registered-(R6)_LaminB1.Ecad.CD44.LaminAC+CD45_44294-119_2017_12_01__5469_c1_ORG.tif,(R6),c1,ORG,44294-119,DAPI
Registered-(R6)_LaminB1.Ecad.CD44.LaminAC+CD45_44294-119_2017_12_01__5469_c2_ORG.tif,(R6),c2,ORG,44294-119,LaminB1
Registered-(R6)_LaminB1.Ecad.CD44.LaminAC+CD45_44294-119_2017_12_01__5469_c3_ORG.tif,(R6),c3,ORG,44294-119,Ecad
Registered-(R6)_LaminB1.Ecad.CD44.LaminAC+CD45_44294-119_2017_12_01__5469_c4_ORG.tif,(R6),c4,ORG,44294-119,CD44
Registered-(R6)_LaminB1.Ecad.CD44.LaminAC+CD45_44294-119_2017_12_01__5469_c5_ORG.tif,(R6),c5,ORG,44294-119,LaminAC+CD45
Registered-(R6)_LaminB1.Ecad.CD44.LaminAC+CD45_44294-120_2017_12_01__5470_c1_ORG.tif,(R6),c1,ORG,44294-120,DAPI
Registered-(R6)_LaminB1.Ecad.CD44.LaminAC+CD45_44294-120_2017_12_01__5470_c2_ORG.tif,(R6),c2,ORG,44294-120,LaminB1
Registered-(R6)_LaminB1.Ecad.CD44.LaminAC+CD45_44294-120_2017_12_01__5470_c3_ORG.tif,(R6),c3,ORG,44294-120,Ecad
Registered-(R6)_LaminB1.Ecad.CD44.LaminAC+CD45_44294-120_2017_12_01__5470_c4_ORG.tif,(R6),c4,ORG,44294-120,CD44
Registered-(R6)_LaminB1.Ecad.CD44.LaminAC+CD45_44294-120_2017_12_01__5470_c5_ORG.tif,(R6),c5,ORG,44294-120,LaminAC+CD45
Registered-R1_CD20.CD8.CD4.CK19_44290-112_c1_ORG.tif,R1,c1,ORG,44290-112,DAPI
Registered-R1_CD20.CD8.CD4.CK19_44290-112_c2_ORG.tif,R1,c2,ORG,44290-112,CD20
Registered-R1_CD20.CD8.CD4.CK19_44290-112_c3_ORG.tif,R1,c3,ORG,44290-112,CD8
Registered-R1_CD20.CD8.CD4.CK19_44290-112_c4_ORG.tif,R1,c4,ORG,44290-112,CD4
Registered-R1_CD20.CD8.CD4.CK19_44290-112_c5_ORG.tif,R1,c5,ORG,44290-112,CK19
Registered-R1_CD20.CD8.CD4.CK19_44294-116_c1_ORG.tif,R1,c1,ORG,44294-116,DAPI
Registered-R1_CD20.CD8.CD4.CK19_44294-116_c2_ORG.tif,R1,c2,ORG,44294-116,CD20
Registered-R1_CD20.CD8.CD4.CK19_44294-116_c3_ORG.tif,R1,c3,ORG,44294-116,CD8
Registered-R1_CD20.CD8.CD4.CK19_44294-116_c4_ORG.tif,R1,c4,ORG,44294-116,CD4
Registered-R1_CD20.CD8.CD4.CK19_44294-116_c5_ORG.tif,R1,c5,ORG,44294-116,CK19
Registered-R2_PCNA.Her2.ER.CD45_44290-112_c1_ORG.tif,R2,c1,ORG,44290-112,DAPI
Registered-R2_PCNA.Her2.ER.CD45_44290-112_c2_ORG.tif,R2,c2,ORG,44290-112,PCNA
Registered-R2_PCNA.Her2.ER.CD45_44290-112_c3_ORG.tif,R2,c3,ORG,44290-112,Her2
Registered-R2_PCNA.Her2.ER.CD45_44290-112_c4_ORG.tif,R2,c4,ORG,44290-112,ER
Registered-R2_PCNA.Her2.ER.CD45_44290-112_c5_ORG.tif,R2,c5,ORG,44290-112,CD45
Registered-R2_PCNA.Her2.ER.CD45_44294-116_c1_ORG.tif,R2,c1,ORG,44294-116,DAPI
Registered-R2_PCNA.Her2.ER.CD45_44294-116_c2_ORG.tif,R2,c2,ORG,44294-116,PCNA
Registered-R2_PCNA.Her2.ER.CD45_44294-116_c3_ORG.tif,R2,c3,ORG,44294-116,Her2
Registered-R2_PCNA.Her2.ER.CD45_44294-116_c4_ORG.tif,R2,c4,ORG,44294-116,ER
Registered-R2_PCNA.Her2.ER.CD45_44294-116_c5_ORG.tif,R2,c5,ORG,44294-116,CD45
Registered-R3_pH3.CK14.CD44.CK5_44290-112_c1_ORG.tif,R3,c1,ORG,44290-112,DAPI
Registered-R3_pH3.CK14.CD44.CK5_44290-112_c2_ORG.tif,R3,c2,ORG,44290-112,pH3
Registered-R3_pH3.CK14.CD44.CK5_44290-112_c3_ORG.tif,R3,c3,ORG,44290-112,CK14
Registered-R3_pH3.CK14.CD44.CK5_44290-112_c4_ORG.tif,R3,c4,ORG,44290-112,CD44
Registered-R3_pH3.CK14.CD44.CK5_44290-112_c5_ORG.tif,R3,c5,ORG,44290-112,CK5
Registered-R3_pH3.CK14.CD44.CK5_44294-116_c1_ORG.tif,R3,c1,ORG,44294-116,DAPI
Registered-R3_pH3.CK14.CD44.CK5_44294-116_c2_ORG.tif,R3,c2,ORG,44294-116,pH3
Registered-R3_pH3.CK14.CD44.CK5_44294-116_c3_ORG.tif,R3,c3,ORG,44294-116,CK14
Registered-R3_pH3.CK14.CD44.CK5_44294-116_c4_ORG.tif,R3,c4,ORG,44294-116,CD44
Registered-R3_pH3.CK14.CD44.CK5_44294-116_c5_ORG.tif,R3,c5,ORG,44294-116,CK5
Registered-R4_Vim.CK7.PD1.LaminAC_44290-112_c1_ORG.tif,R4,c1,ORG,44290-112,DAPI
Registered-R4_Vim.CK7.PD1.LaminAC_44290-112_c2_ORG.tif,R4,c2,ORG,44290-112,Vim
Registered-R4_Vim.CK7.PD1.LaminAC_44290-112_c3_ORG.tif,R4,c3,ORG,44290-112,CK7
Registered-R4_Vim.CK7.PD1.LaminAC_44290-112_c4_ORG.tif,R4,c4,ORG,44290-112,PD1
Registered-R4_Vim.CK7.PD1.LaminAC_44290-112_c5_ORG.tif,R4,c5,ORG,44290-112,LaminAC
Registered-R4_Vim.CK7.PD1.LaminAC_44294-116_c1_ORG.tif,R4,c1,ORG,44294-116,DAPI
Registered-R4_Vim.CK7.PD1.LaminAC_44294-116_c2_ORG.tif,R4,c2,ORG,44294-116,Vim
Registered-R4_Vim.CK7.PD1.LaminAC_44294-116_c3_ORG.tif,R4,c3,ORG,44294-116,CK7
Registered-R4_Vim.CK7.PD1.LaminAC_44294-116_c4_ORG.tif,R4,c4,ORG,44294-116,PD1
Registered-R4_Vim.CK7.PD1.LaminAC_44294-116_c5_ORG.tif,R4,c5,ORG,44294-116,LaminAC
Registered-R5_aSMA.CD68.Ki67.Ecad_44290-112_c1_ORG.tif,R5,c1,ORG,44290-112,DAPI
Registered-R5_aSMA.CD68.Ki67.Ecad_44290-112_c2_ORG.tif,R5,c2,ORG,44290-112,aSMA
Registered-R5_aSMA.CD68.Ki67.Ecad_44290-112_c3_ORG.tif,R5,c3,ORG,44290-112,CD68
Registered-R5_aSMA.CD68.Ki67.Ecad_44290-112_c4_ORG.tif,R5,c4,ORG,44290-112,Ki67
Registered-R5_aSMA.CD68.Ki67.Ecad_44290-112_c5_ORG.tif,R5,c5,ORG,44290-112,Ecad
Registered-R5_aSMA.CD68.Ki67.Ecad_44294-116_c1_ORG.tif,R5,c1,ORG,44294-116,DAPI
Registered-R5_aSMA.CD68.Ki67.Ecad_44294-116_c2_ORG.tif,R5,c2,ORG,44294-116,aSMA
Registered-R5_aSMA.CD68.Ki67.Ecad_44294-116_c3_ORG.tif,R5,c3,ORG,44294-116,CD68
Registered-R5_aSMA.CD68.Ki67.Ecad_44294-116_c4_ORG.tif,R5,c4,ORG,44294-116,Ki67
Registered-R5_aSMA.CD68.Ki67.Ecad_44294-116_c5_ORG.tif,R5,c5,ORG,44294-116,Ecad
Registered-R6_LaminB1.Ecad.CD44.LaminAC+CD45_44290-112_2017_12_01__5461_c1_ORG.tif,R6,c1,ORG,44290-112,DAPI
Registered-R6_LaminB1.Ecad.CD44.LaminAC+CD45_44290-112_2017_12_01__5461_c2_ORG.tif,R6,c2,ORG,44290-112,LaminB1
Registered-R6_LaminB1.Ecad.CD44.LaminAC+CD45_44290-112_2017_12_01__5461_c3_ORG.tif,R6,c3,ORG,44290-112,Ecad
Registered-R6_LaminB1.Ecad.CD44.LaminAC+CD45_44290-112_2017_12_01__5461_c4_ORG.tif,R6,c4,ORG,44290-112,CD44
Registered-R6_LaminB1.Ecad.CD44.LaminAC+CD45_44290-112_2017_12_01__5461_c5_ORG.tif,R6,c5,ORG,44290-112,LaminAC+CD45
Registered-R6_LaminB1.Ecad.CD44.LaminAC+CD45_44294-116_2017_12_01__5462_c1_ORG.tif,R6,c1,ORG,44294-116,DAPI
Registered-R6_LaminB1.Ecad.CD44.LaminAC+CD45_44294-116_2017_12_01__5462_c2_ORG.tif,R6,c2,ORG,44294-116,LaminB1
Registered-R6_LaminB1.Ecad.CD44.LaminAC+CD45_44294-116_2017_12_01__5462_c3_ORG.tif,R6,c3,ORG,44294-116,Ecad
Registered-R6_LaminB1.Ecad.CD44.LaminAC+CD45_44294-116_2017_12_01__5462_c4_ORG.tif,R6,c4,ORG,44294-116,CD44
Registered-R6_LaminB1.Ecad.CD44.LaminAC+CD45_44294-116_2017_12_01__5462_c5_ORG.tif,R6,c5,ORG,44294-116,LaminAC+CD45
