,rounds,color,imagetype,scene,marker,tissue,exposure,round_int
Registered-R1_CD20.CD8.CD4.CK19_44290-112_c1_ORG.tif,R1,c1,ORG,44290-112,DAPI,44290-112,60.0,1.0
Registered-R1_CD20.CD8.CD4.CK19_44290-112_c2_ORG.tif,R1,c2,ORG,44290-112,CD20,44290-112,100.0,1.0
Registered-R1_CD20.CD8.CD4.CK19_44290-112_c3_ORG.tif,R1,c3,ORG,44290-112,CD8,44290-112,60.0,1.0
Registered-R1_CD20.CD8.CD4.CK19_44290-112_c4_ORG.tif,R1,c4,ORG,44290-112,CD4,44290-112,150.0,1.0
Registered-R1_CD20.CD8.CD4.CK19_44290-112_c5_ORG.tif,R1,c5,ORG,44290-112,CK19,44290-112,750.0,1.0
Registered-(R2)_PCNA.Her2.ER.CD45_44290-113_2017_10_25__4615_c1_ORG.tif,R1,c1,ORG,44290-113,DAPI,44290-113,40.0,1.0
Registered-(R2)_PCNA.Her2.ER.CD45_44290-113_2017_10_25__4615_c2_ORG.tif,R1,c2,ORG,44290-113,PCNA,44290-113,60.0,1.0
Registered-(R2)_PCNA.Her2.ER.CD45_44290-113_2017_10_25__4615_c3_ORG.tif,R1,c3,ORG,44290-113,Her2,44290-113,15.0,1.0
Registered-(R2)_PCNA.Her2.ER.CD45_44290-113_2017_10_25__4615_c4_ORG.tif,R1,c4,ORG,44290-113,ER,44290-113,200.0,1.0
Registered-(R2)_PCNA.Her2.ER.CD45_44290-113_2017_10_25__4615_c5_ORG.tif,R1,c5,ORG,44290-113,CD45,44290-113,600.0,1.0
Registered-(R3)_pH3.CK14.CD44.CK5_44290-114_2017_10_26__4665_c1_ORG.tif,R1,c1,ORG,44290-114,DAPI,44290-114,30.0,1.0
Registered-(R3)_pH3.CK14.CD44.CK5_44290-114_2017_10_26__4665_c2_ORG.tif,R1,c2,ORG,44290-114,pH3,44290-114,60.0,1.0
Registered-(R3)_pH3.CK14.CD44.CK5_44290-114_2017_10_26__4665_c3_ORG.tif,R1,c3,ORG,44290-114,CK14,44290-114,15.0,1.0
Registered-(R3)_pH3.CK14.CD44.CK5_44290-114_2017_10_26__4665_c4_ORG.tif,R1,c4,ORG,44290-114,CD44,44290-114,80.0,1.0
Registered-(R3)_pH3.CK14.CD44.CK5_44290-114_2017_10_26__4665_c5_ORG.tif,R1,c5,ORG,44290-114,CK5,44290-114,400.0,1.0
Registered-(R4)_Vim.CK7.PD1.LaminAC_44290-115_2017_10_26__4667-1_c1_ORG.tif,R1,c1,ORG,44290-115,DAPI,44290-115,20.0,1.0
Registered-(R4)_Vim.CK7.PD1.LaminAC_44290-115_2017_10_26__4667-1_c2_ORG.tif,R1,c2,ORG,44290-115,Vim,44290-115,60.0,1.0
Registered-(R4)_Vim.CK7.PD1.LaminAC_44290-115_2017_10_26__4667-1_c3_ORG.tif,R1,c3,ORG,44290-115,CK7,44290-115,15.0,1.0
Registered-(R4)_Vim.CK7.PD1.LaminAC_44290-115_2017_10_26__4667-1_c4_ORG.tif,R1,c4,ORG,44290-115,PD1,44290-115,250.0,1.0
Registered-(R4)_Vim.CK7.PD1.LaminAC_44290-115_2017_10_26__4667-1_c5_ORG.tif,R1,c5,ORG,44290-115,LaminAC,44290-115,250.0,1.0
Registered-(R5)_aSMA.CD68.Ki67.Ecad_44290-116_2017_10_26__4669_c1_ORG.tif,R1,c1,ORG,44290-116,DAPI,44290-116,15.0,1.0
Registered-(R5)_aSMA.CD68.Ki67.Ecad_44290-116_2017_10_26__4669_c2_ORG.tif,R1,c2,ORG,44290-116,aSMA,44290-116,20.0,1.0
Registered-(R5)_aSMA.CD68.Ki67.Ecad_44290-116_2017_10_26__4669_c3_ORG.tif,R1,c3,ORG,44290-116,CD68,44290-116,40.0,1.0
Registered-(R5)_aSMA.CD68.Ki67.Ecad_44290-116_2017_10_26__4669_c4_ORG.tif,R1,c4,ORG,44290-116,Ki67,44290-116,40.0,1.0
Registered-(R5)_aSMA.CD68.Ki67.Ecad_44290-116_2017_10_26__4669_c5_ORG.tif,R1,c5,ORG,44290-116,Ecad,44290-116,750.0,1.0
Registered-R1_CD20.CD8.CD4.CK19_44294-116_c1_ORG.tif,R1,c1,ORG,44294-116,DAPI,44294-116,30.0,1.0
Registered-R1_CD20.CD8.CD4.CK19_44294-116_c2_ORG.tif,R1,c2,ORG,44294-116,CD20,44294-116,80.0,1.0
Registered-R1_CD20.CD8.CD4.CK19_44294-116_c3_ORG.tif,R1,c3,ORG,44294-116,CD8,44294-116,60.0,1.0
Registered-R1_CD20.CD8.CD4.CK19_44294-116_c4_ORG.tif,R1,c4,ORG,44294-116,CD4,44294-116,150.0,1.0
Registered-R1_CD20.CD8.CD4.CK19_44294-116_c5_ORG.tif,R1,c5,ORG,44294-116,CK19,44294-116,300.0,1.0
Registered-(R2)_PCNA.Her2.ER.CD45_44294-117_2017_10_25__4616_c1_ORG.tif,R1,c1,ORG,44294-117,DAPI,44294-117,20.0,1.0
Registered-(R2)_PCNA.Her2.ER.CD45_44294-117_2017_10_25__4616_c2_ORG.tif,R1,c2,ORG,44294-117,PCNA,44294-117,60.0,1.0
Registered-(R2)_PCNA.Her2.ER.CD45_44294-117_2017_10_25__4616_c3_ORG.tif,R1,c3,ORG,44294-117,Her2,44294-117,15.0,1.0
Registered-(R2)_PCNA.Her2.ER.CD45_44294-117_2017_10_25__4616_c4_ORG.tif,R1,c4,ORG,44294-117,ER,44294-117,200.0,1.0
Registered-(R2)_PCNA.Her2.ER.CD45_44294-117_2017_10_25__4616_c5_ORG.tif,R1,c5,ORG,44294-117,CD45,44294-117,600.0,1.0
Registered-(R3)_pH3.CK14.CD44.CK5_44294-118_2017_10_26__4666-1_c1_ORG.tif,R1,c1,ORG,44294-118,DAPI,44294-118,20.0,1.0
