img_index,rounds,color,imagetype,scene,marker,slide_marker,img_index,marker_y,rounds_y,color_y,minimum,max,exposure,refexp,location,slide,condition,meanpos,meanneg
Registered-R1_CD20.CD8.CD4.CK19_44294-116_c2_ORG.tif,R1,c2,ORG,44294-116,CD20,44294-116_CD20,Registered-R1_CD20.CD8.CD4.CK19_44294-116_c2_ORG.tif,CD20,R1,c2,6000,65535,80,80,Ring,44294-116,cyclic_R1-5_normal,9722.508642908691,2007.485063265942
Registered-R1_CD20.CD8.CD4.CK19_44290-112_c2_ORG.tif,R1,c2,ORG,44290-112,CD20,44290-112_CD20,Registered-R1_CD20.CD8.CD4.CK19_44290-112_c2_ORG.tif,CD20,R1,c2,2500,5000,100,80,Ring,44290-112,cyclic_R1-5_tumor,3178.316125891591,1551.6972463832733
Registered-R1_CD20.CD8.CD4.CK19_44294-116_c4_ORG.tif,R1,c4,ORG,44294-116,CD4,44294-116_CD4,Registered-R1_CD20.CD8.CD4.CK19_44294-116_c4_ORG.tif,CD4,R1,c4,4000,65535,150,150,Ring,44294-116,cyclic_R1-5_normal,5846.130268742984,826.7743632470039
Registered-R1_CD20.CD8.CD4.CK19_44290-112_c4_ORG.tif,R1,c4,ORG,44290-112,CD4,44290-112_CD4,Registered-R1_CD20.CD8.CD4.CK19_44290-112_c4_ORG.tif,CD4,R1,c4,2200,65535,150,150,Ring,44290-112,cyclic_R1-5_tumor,3870.925120284348,882.7051937186922
Registered-R3_pH3.CK14.CD44.CK5_44294-116_c4_ORG.tif,R3,c4,ORG,44294-116,CD44,44294-116_CD44,Registered-R3_pH3.CK14.CD44.CK5_44294-116_c4_ORG.tif,CD44,R3,c4,502,65535,20,20,Ring,44294-116,cyclic_R1-5_normal,1077.8253391808576,228.44067384168252
Registered-R3_pH3.CK14.CD44.CK5_44290-112_c4_ORG.tif,R3,c4,ORG,44290-112,CD44,44290-112_CD44,Registered-R3_pH3.CK14.CD44.CK5_44290-112_c4_ORG.tif,CD44,R3,c4,1102,65535,20,20,Ring,44290-112,cyclic_R1-5_tumor,2168.6816000739063,432.52564495400753
Registered-(R3)_pH3.CK14.CD44.CK5_44294-118_2017_10_26__4666-1_c4_ORG.tif,R3,c4,ORG,44294-118,CD44,44294-118_CD44,Registered-(R3)_pH3.CK14.CD44.CK5_44294-118_2017_10_26__4666-1_c4_ORG.tif,CD44,R1,c4,1500,65535,80,80,Ring,44294-118,single_R3_normal,3375.9487828721994,649.8392201319142
Registered-(R3)_pH3.CK14.CD44.CK5_44290-114_2017_10_26__4665_c4_ORG.tif,R3,c4,ORG,44290-114,CD44,44290-114_CD44,Registered-(R3)_pH3.CK14.CD44.CK5_44290-114_2017_10_26__4665_c4_ORG.tif,CD44,R1,c4,1402,65535,80,80,Ring,44290-114,single_R3_tumor,2800.88415837313,697.5208400932814
Registered-R2_PCNA.Her2.ER.CD45_44294-116_c5_ORG.tif,R2,c5,ORG,44294-116,CD45,44294-116_CD45,Registered-R2_PCNA.Her2.ER.CD45_44294-116_c5_ORG.tif,CD45,R2,c5,1902,65535,750,750,Ring,44294-116,cyclic_R1-5_normal,2685.5100249228135,698.9588616362211
Registered-R2_PCNA.Her2.ER.CD45_44290-112_c5_ORG.tif,R2,c5,ORG,44290-112,CD45,44290-112_CD45,Registered-R2_PCNA.Her2.ER.CD45_44290-112_c5_ORG.tif,CD45,R2,c5,1902,16500,750,750,Ring,44290-112,cyclic_R1-5_tumor,2669.405933742073,959.5173219908246
Registered-(R2)_PCNA.Her2.ER.CD45_44294-117_2017_10_25__4616_c5_ORG.tif,R2,c5,ORG,44294-117,CD45,44294-117_CD45,Registered-(R2)_PCNA.Her2.ER.CD45_44294-117_2017_10_25__4616_c5_ORG.tif,CD45,R1,c5,2100,65535,600,600,Ring,44294-117,single_R2_normal,2718.9142283267765,759.8462125320355
Registered-(R2)_PCNA.Her2.ER.CD45_44290-113_2017_10_25__4615_c5_ORG.tif,R2,c5,ORG,44290-113,CD45,44290-113_CD45,Registered-(R2)_PCNA.Her2.ER.CD45_44290-113_2017_10_25__4615_c5_ORG.tif,CD45,R1,c5,1802,65535,600,600,Ring,44290-113,single_R2_tumor,2660.7407885714038,997.4913701030175
Registered-R5_aSMA.CD68.Ki67.Ecad_44294-116_c3_ORG.tif,R5,c3,ORG,44294-116,CD68,44294-116_CD68,Registered-R5_aSMA.CD68.Ki67.Ecad_44294-116_c3_ORG.tif,CD68,R5,c3,2202,65535,50,50,Ring,44294-116,cyclic_R1-5_normal,2687.8222907036466,351.29477782544336
Registered-R5_aSMA.CD68.Ki67.Ecad_44290-112_c3_ORG.tif,R5,c3,ORG,44290-112,CD68,44290-112_CD68,Registered-R5_aSMA.CD68.Ki67.Ecad_44290-112_c3_ORG.tif,CD68,R5,c3,802,65535,50,50,Ring,44290-112,cyclic_R1-5_tumor,1440.3134057267182,520.9855418298401
Registered-(R5)_aSMA.CD68.Ki67.Ecad_44294-120_2017_10_26__4670_c3_ORG.tif,R5,c3,ORG,44294-120,CD68,44294-120_CD68,Registered-(R5)_aSMA.CD68.Ki67.Ecad_44294-120_2017_10_26__4670_c3_ORG.tif,CD68,R1,c3,3100,65535,40,40,Ring,44294-120,single_R5_normal,4513.829568788501,576.638924471734
Registered-(R5)_aSMA.CD68.Ki67.Ecad_44290-116_2017_10_26__4669_c3_ORG.tif,R5,c3,ORG,44290-116,CD68,44290-116_CD68,Registered-(R5)_aSMA.CD68.Ki67.Ecad_44290-116_2017_10_26__4669_c3_ORG.tif,CD68,R1,c3,1002,65535,40,40,Ring,44290-116,single_R5_tumor,1679.0827179593093,582.1078931827675
Registered-R1_CD20.CD8.CD4.CK19_44294-116_c3_ORG.tif,R1,c3,ORG,44294-116,CD8,44294-116_CD8,Registered-R1_CD20.CD8.CD4.CK19_44294-116_c3_ORG.tif,CD8,R1,c3,3000,65535,60,60,Ring,44294-116,cyclic_R1-5_normal,4422.085775465421,1157.3031766809538
Registered-R1_CD20.CD8.CD4.CK19_44290-112_c3_ORG.tif,R1,c3,ORG,44290-112,CD8,44290-112_CD8,Registered-R1_CD20.CD8.CD4.CK19_44290-112_c3_ORG.tif,CD8,R1,c3,2000,20000,60,60,Ring,44290-112,cyclic_R1-5_tumor,3179.40878292272,1140.5540166082628
Registered-R3_pH3.CK14.CD44.CK5_44294-116_c3_ORG.tif,R3,c3,ORG,44294-116,CK14,44294-116_CK14,Registered-R3_pH3.CK14.CD44.CK5_44294-116_c3_ORG.tif,CK14,R3,c3,1702,65535,3,3,Ring,44294-116,cyclic_R1-5_normal,4748.232867020656,303.3710764571084
Registered-R3_pH3.CK14.CD44.CK5_44290-112_c3_ORG.tif,R3,c3,ORG,44290-112,CK14,44290-112_CK14,Registered-R3_pH3.CK14.CD44.CK5_44290-112_c3_ORG.tif,CK14,R3,c3,5002,65535,10,3,Ring,44290-112,cyclic_R1-5_tumor,,615.6241465811966
Registered-(R3)_pH3.CK14.CD44.CK5_44294-118_2017_10_26__4666-1_c3_ORG.tif,R3,c3,ORG,44294-118,CK14,44294-118_CK14,Registered-(R3)_pH3.CK14.CD44.CK5_44294-118_2017_10_26__4666-1_c3_ORG.tif,CK14,R1,c3,4000,65535,15,15,Ring,44294-118,single_R3_normal,7548.619500567792,466.18814989549253
Registered-(R3)_pH3.CK14.CD44.CK5_44290-114_2017_10_26__4665_c3_ORG.tif,R3,c3,ORG,44290-114,CK14,44290-114_CK14,Registered-(R3)_pH3.CK14.CD44.CK5_44290-114_2017_10_26__4665_c3_ORG.tif,CK14,R1,c3,5002,65535,15,15,Ring,44290-114,single_R3_tumor,,778.2589102564102
Registered-R1_CD20.CD8.CD4.CK19_44294-116_c5_ORG.tif,R1,c5,ORG,44294-116,CK19,44294-116_CK19,Registered-R1_CD20.CD8.CD4.CK19_44294-116_c5_ORG.tif,CK19,R1,c5,3000,65535,300,300,Ring,44294-116,cyclic_R1-5_normal,6591.164773276612,305.4449934221288
Registered-R1_CD20.CD8.CD4.CK19_44290-112_c5_ORG.tif,R1,c5,ORG,44290-112,CK19,44290-112_CK19,Registered-R1_CD20.CD8.CD4.CK19_44290-112_c5_ORG.tif,CK19,R1,c5,4000,65535,750,300,Ring,44290-112,cyclic_R1-5_tumor,5865.8220717986505,1371.5598070323522
Registered-R3_pH3.CK14.CD44.CK5_44294-116_c5_ORG.tif,R3,c5,ORG,44294-116,CK5,44294-116_CK5,Registered-R3_pH3.CK14.CD44.CK5_44294-116_c5_ORG.tif,CK5,R3,c5,1302,65535,100,100,Ring,44294-116,cyclic_R1-5_normal,2212.478027114318,262.66906053803166
Registered-R3_pH3.CK14.CD44.CK5_44290-112_c5_ORG.tif,R3,c5,ORG,44290-112,CK5,44290-112_CK5,Registered-R3_pH3.CK14.CD44.CK5_44290-112_c5_ORG.tif,CK5,R3,c5,8202,65535,500,100,Ring,44290-112,cyclic_R1-5_tumor,,1065.5583264957265
Registered-(R3)_pH3.CK14.CD44.CK5_44294-118_2017_10_26__4666-1_c5_ORG.tif,R3,c5,ORG,44294-118,CK5,44294-118_CK5,Registered-(R3)_pH3.CK14.CD44.CK5_44294-118_2017_10_26__4666-1_c5_ORG.tif,CK5,R1,c5,2000,65535,400,400,Ring,44294-118,single_R3_normal,2831.001740651728,420.5616283879277
Registered-(R3)_pH3.CK14.CD44.CK5_44290-114_2017_10_26__4665_c5_ORG.tif,R3,c5,ORG,44290-114,CK5,44290-114_CK5,Registered-(R3)_pH3.CK14.CD44.CK5_44290-114_2017_10_26__4665_c5_ORG.tif,CK5,R1,c5,1002,65535,400,400,Ring,44290-114,single_R3_tumor,1081.982456140351,465.06505201195074
Registered-R4_Vim.CK7.PD1.LaminAC_44294-116_c3_ORG.tif,R4,c3,ORG,44294-116,CK7,44294-116_CK7,Registered-R4_Vim.CK7.PD1.LaminAC_44294-116_c3_ORG.tif,CK7,R4,c3,1002,65535,5,5,Ring,44294-116,cyclic_R1-5_normal,2075.1763987762547,176.64888101588386
Registered-R4_Vim.CK7.PD1.LaminAC_44290-112_c3_ORG.tif,R4,c3,ORG,44290-112,CK7,44290-112_CK7,Registered-R4_Vim.CK7.PD1.LaminAC_44290-112_c3_ORG.tif,CK7,R4,c3,1202,65535,5,5,Ring,44290-112,cyclic_R1-5_tumor,2984.690185752184,299.2521660699155
Registered-(R4)_Vim.CK7.PD1.LaminAC_44294-119_2017_10_26__4668_c3_ORG.tif,R4,c3,ORG,44294-119,CK7,44294-119_CK7,Registered-(R4)_Vim.CK7.PD1.LaminAC_44294-119_2017_10_26__4668_c3_ORG.tif,CK7,R1,c3,1500,65535,10,10,Ring,44294-119,single_R4_normal,3031.1786919096216,283.1964565681875
Registered-(R4)_Vim.CK7.PD1.LaminAC_44290-115_2017_10_26__4667-1_c3_ORG.tif,R4,c3,ORG,44290-115,CK7,44290-115_CK7,Registered-(R4)_Vim.CK7.PD1.LaminAC_44290-115_2017_10_26__4667-1_c3_ORG.tif,CK7,R1,c3,902,65535,15,15,Ring,44290-115,single_R4_tumor,2168.3361419758576,335.02883762821455
Registered-R2_PCNA.Her2.ER.CD45_44294-116_c4_ORG.tif,R2,c4,ORG,44294-116,ER,44294-116_ER,Registered-R2_PCNA.Her2.ER.CD45_44294-116_c4_ORG.tif,ER,R2,c4,1202,65535,150,150,Nucleus,44294-116,cyclic_R1-5_normal,2928.779373100375,463.4707859846207
Registered-R2_PCNA.Her2.ER.CD45_44290-112_c4_ORG.tif,R2,c4,ORG,44290-112,ER,44290-112_ER,Registered-R2_PCNA.Her2.ER.CD45_44290-112_c4_ORG.tif,ER,R2,c4,1002,14000,150,150,Nucleus,44290-112,cyclic_R1-5_tumor,1154.717168537754,604.0686387982543
Registered-(R2)_PCNA.Her2.ER.CD45_44294-117_2017_10_25__4616_c4_ORG.tif,R2,c4,ORG,44294-117,ER,44294-117_ER,Registered-(R2)_PCNA.Her2.ER.CD45_44294-117_2017_10_25__4616_c4_ORG.tif,ER,R1,c4,1800,65535,200,200,Nucleus,44294-117,single_R2_normal,3713.730016849546,772.6465633123203
Registered-(R2)_PCNA.Her2.ER.CD45_44290-113_2017_10_25__4615_c4_ORG.tif,R2,c4,ORG,44290-113,ER,44290-113_ER,Registered-(R2)_PCNA.Her2.ER.CD45_44290-113_2017_10_25__4615_c4_ORG.tif,ER,R1,c4,1402,65535,200,200,Nucleus,44290-113,single_R2_tumor,1621.9711043566363,806.2331710775811
Registered-R5_aSMA.CD68.Ki67.Ecad_44294-116_c5_ORG.tif,R5,c5,ORG,44294-116,Ecad,44294-116_Ecad,Registered-R5_aSMA.CD68.Ki67.Ecad_44294-116_c5_ORG.tif,Ecad,R5,c5,1202,65535,1000,1000,Ring,44294-116,cyclic_R1-5_normal,1751.2595939522519,630.9209798157767
Registered-R5_aSMA.CD68.Ki67.Ecad_44290-112_c5_ORG.tif,R5,c5,ORG,44290-112,Ecad,44290-112_Ecad,Registered-R5_aSMA.CD68.Ki67.Ecad_44290-112_c5_ORG.tif,Ecad,R5,c5,1002,65535,1000,1000,Ring,44290-112,cyclic_R1-5_tumor,1405.0147167534774,712.479540979185
Registered-(R5)_aSMA.CD68.Ki67.Ecad_44294-120_2017_10_26__4670_c5_ORG.tif,R5,c5,ORG,44294-120,Ecad,44294-120_Ecad,Registered-(R5)_aSMA.CD68.Ki67.Ecad_44294-120_2017_10_26__4670_c5_ORG.tif,Ecad,R1,c5,1000,65535,750,750,Ring,44294-120,single_R5_normal,1495.9401045075708,517.5430376600394
Registered-(R5)_aSMA.CD68.Ki67.Ecad_44290-116_2017_10_26__4669_c5_ORG.tif,R5,c5,ORG,44290-116,Ecad,44290-116_Ecad,Registered-(R5)_aSMA.CD68.Ki67.Ecad_44290-116_2017_10_26__4669_c5_ORG.tif,Ecad,R1,c5,622,65535,750,750,Ring,44290-116,single_R5_tumor,707.4614705960985,529.0341693391704
