,rounds,color,imagetype,scene,marker,tissue,exposure,round_int,result
Registered-R1_CK7.CoxIV.LaminB1.Ecad_4165NPanc-73-Scene-001_c1_ORG.tif,R1,c1,ORG,4165NPanc-73-Scene-001,DAPI,4165NPanc-73,10.0,1.0,1688.088137476317
Registered-R1_CK7.CoxIV.LaminB1.Ecad_4165NPanc-73-Scene-001_c2_ORG.tif,R1,c2,ORG,4165NPanc-73-Scene-001,CK7,4165NPanc-73,12.0,1.0,944.3300215561187
Registered-R1_CK7.CoxIV.LaminB1.Ecad_4165NPanc-73-Scene-001_c3_ORG.tif,R1,c3,ORG,4165NPanc-73-Scene-001,CoxIV,4165NPanc-73,35.0,1.0,1159.1760351565895
Registered-R1_CK7.CoxIV.LaminB1.Ecad_4165NPanc-73-Scene-001_c4_ORG.tif,R1,c4,ORG,4165NPanc-73-Scene-001,LaminB1,4165NPanc-73,120.0,1.0,3242.6471500087937
Registered-R1_CK7.CoxIV.LaminB1.Ecad_4165NPanc-73-Scene-001_c5_ORG.tif,R1,c5,ORG,4165NPanc-73-Scene-001,Ecad,4165NPanc-73,160.0,1.0,1708.1730287230894
Registered-R2_CK7.CoxIV.LaminB1.Ecad_4165NPanc-73-Scene-001_c1_ORG.tif,R2,c1,ORG,4165NPanc-73-Scene-001,DAPI,4165NPanc-73,10.0,2.0,2178.652643228613
Registered-R2_CK7.CoxIV.LaminB1.Ecad_4165NPanc-73-Scene-001_c2_ORG.tif,R2,c2,ORG,4165NPanc-73-Scene-001,CK7,4165NPanc-73,12.0,2.0,546.9130224414649
Registered-R2_CK7.CoxIV.LaminB1.Ecad_4165NPanc-73-Scene-001_c3_ORG.tif,R2,c3,ORG,4165NPanc-73-Scene-001,CoxIV,4165NPanc-73,35.0,2.0,270.8814050771945
Registered-R2_CK7.CoxIV.LaminB1.Ecad_4165NPanc-73-Scene-001_c4_ORG.tif,R2,c4,ORG,4165NPanc-73-Scene-001,LaminB1,4165NPanc-73,120.0,2.0,419.1580231608094
Registered-R2_CK7.CoxIV.LaminB1.Ecad_4165NPanc-73-Scene-001_c5_ORG.tif,R2,c5,ORG,4165NPanc-73-Scene-001,Ecad,4165NPanc-73,160.0,2.0,496.4339966323398
Registered-R3_CK7.CoxIV.LaminB1.Ecad_4165NPanc-73-Scene-001_c1_ORG.tif,R3,c1,ORG,4165NPanc-73-Scene-001,DAPI,4165NPanc-73,8.0,3.0,3251.7742278080314
Registered-R3_CK7.CoxIV.LaminB1.Ecad_4165NPanc-73-Scene-001_c2_ORG.tif,R3,c2,ORG,4165NPanc-73-Scene-001,CK7,4165NPanc-73,12.0,3.0,484.6110019358979
Registered-R3_CK7.CoxIV.LaminB1.Ecad_4165NPanc-73-Scene-001_c3_ORG.tif,R3,c3,ORG,4165NPanc-73-Scene-001,CoxIV,4165NPanc-73,35.0,3.0,243.85590935698607
