,rounds,color,imagetype,scene,marker
Registered-R1_CK7-Vimentin.CK14-CD68_B1640-T8-3-Scene-001_c1_ORG.tif,R1,c1,ORG,B1640-T8-3-Scene-001,DAPI
Registered-R1_CK7-Vimentin.CK14-CD68_B1640-T8-3-Scene-001_c2_ORG.tif,R1,c2,ORG,B1640-T8-3-Scene-001,CK7-Vimentin
Registered-R1_CK7-Vimentin.CK14-CD68_B1640-T8-3-Scene-001_c3_ORG.tif,R1,c3,ORG,B1640-T8-3-Scene-001,CK14-CD68
Registered-R1_CK7-Vimentin.CK14-CD68_B1640-T8-4-Scene-001_c1_ORG.tif,R1,c1,ORG,B1640-T8-4-Scene-001,DAPI
Registered-R1_CK7-Vimentin.CK14-CD68_B1640-T8-4-Scene-001_c2_ORG.tif,R1,c2,ORG,B1640-T8-4-Scene-001,CK7-Vimentin
Registered-R1_CK7-Vimentin.CK14-CD68_B1640-T8-4-Scene-001_c3_ORG.tif,R1,c3,ORG,B1640-T8-4-Scene-001,CK14-CD68
Registered-R1_CK7-Vimentin.CK14-CD68_B1640-T8-5-Scene-001_c1_ORG.tif,R1,c1,ORG,B1640-T8-5-Scene-001,DAPI
Registered-R1_CK7-Vimentin.CK14-CD68_B1640-T8-5-Scene-001_c2_ORG.tif,R1,c2,ORG,B1640-T8-5-Scene-001,CK7-Vimentin
Registered-R1_CK7-Vimentin.CK14-CD68_B1640-T8-5-Scene-001_c3_ORG.tif,R1,c3,ORG,B1640-T8-5-Scene-001,CK14-CD68
Registered-R1_CK7-Vimentin.CK14-CD68_B1640-T8-6-Scene-001_c1_ORG.tif,R1,c1,ORG,B1640-T8-6-Scene-001,DAPI
Registered-R1_CK7-Vimentin.CK14-CD68_B1640-T8-6-Scene-001_c2_ORG.tif,R1,c2,ORG,B1640-T8-6-Scene-001,CK7-Vimentin
Registered-R1_CK7-Vimentin.CK14-CD68_B1640-T8-6-Scene-001_c3_ORG.tif,R1,c3,ORG,B1640-T8-6-Scene-001,CK14-CD68
Registered-R2_488.555_B1640-T8-3-Scene-001_c1_ORG.tif,R2,c1,ORG,B1640-T8-3-Scene-001,DAPI
Registered-R2_488.555_B1640-T8-3-Scene-001_c2_ORG.tif,R2,c2,ORG,B1640-T8-3-Scene-001,488
Registered-R2_488.555_B1640-T8-3-Scene-001_c3_ORG.tif,R2,c3,ORG,B1640-T8-3-Scene-001,555
Registered-R2_488.555_B1640-T8-4-Scene-001_c1_ORG.tif,R2,c1,ORG,B1640-T8-4-Scene-001,DAPI
