,rounds,color,imagetype,scene,marker,tissue,exposure,round_int
Registered-R1_CK7-Vimentin.CK14-CD68_B1640-T8-3-Scene-001_c1_ORG.tif,R1,c1,ORG,B1640-T8-3-Scene-001,DAPI,B1640-T8-3,10.0,1.0
Registered-R1_CK7-Vimentin.CK14-CD68_B1640-T8-3-Scene-001_c2_ORG.tif,R1,c2,ORG,B1640-T8-3-Scene-001,CK7-Vimentin,B1640-T8-3,10.0,1.0
Registered-R1_CK7-Vimentin.CK14-CD68_B1640-T8-3-Scene-001_c3_ORG.tif,R1,c3,ORG,B1640-T8-3-Scene-001,CK14-CD68,B1640-T8-3,60.0,1.0
Registered-R1_CK7-Vimentin.CK14-CD68_B1640-T8-4-Scene-001_c1_ORG.tif,R1,c1,ORG,B1640-T8-4-Scene-001,DAPI,B1640-T8-4,10.0,1.0
Registered-R1_CK7-Vimentin.CK14-CD68_B1640-T8-4-Scene-001_c2_ORG.tif,R1,c2,ORG,B1640-T8-4-Scene-001,CK7-Vimentin,B1640-T8-4,10.0,1.0
Registered-R1_CK7-Vimentin.CK14-CD68_B1640-T8-4-Scene-001_c3_ORG.tif,R1,c3,ORG,B1640-T8-4-Scene-001,CK14-CD68,B1640-T8-4,60.0,1.0
Registered-R1_CK7-Vimentin.CK14-CD68_B1640-T8-5-Scene-001_c1_ORG.tif,R1,c1,ORG,B1640-T8-5-Scene-001,DAPI,B1640-T8-5,10.0,1.0
Registered-R1_CK7-Vimentin.CK14-CD68_B1640-T8-5-Scene-001_c2_ORG.tif,R1,c2,ORG,B1640-T8-5-Scene-001,CK7-Vimentin,B1640-T8-5,10.0,1.0
Registered-R1_CK7-Vimentin.CK14-CD68_B1640-T8-5-Scene-001_c3_ORG.tif,R1,c3,ORG,B1640-T8-5-Scene-001,CK14-CD68,B1640-T8-5,60.0,1.0
Registered-R1_CK7-Vimentin.CK14-CD68_B1640-T8-6-Scene-001_c1_ORG.tif,R1,c1,ORG,B1640-T8-6-Scene-001,DAPI,B1640-T8-6,10.0,1.0
Registered-R1_CK7-Vimentin.CK14-CD68_B1640-T8-6-Scene-001_c2_ORG.tif,R1,c2,ORG,B1640-T8-6-Scene-001,CK7-Vimentin,B1640-T8-6,10.0,1.0
Registered-R1_CK7-Vimentin.CK14-CD68_B1640-T8-6-Scene-001_c3_ORG.tif,R1,c3,ORG,B1640-T8-6-Scene-001,CK14-CD68,B1640-T8-6,60.0,1.0
Registered-R2_488.555_B1640-T8-3-Scene-001_c1_ORG.tif,R2,c1,ORG,B1640-T8-3-Scene-001,DAPI,B1640-T8-3,5.0,2.0
Registered-R2_488.555_B1640-T8-3-Scene-001_c2_ORG.tif,R2,c2,ORG,B1640-T8-3-Scene-001,488,B1640-T8-3,50.0,2.0
Registered-R2_488.555_B1640-T8-3-Scene-001_c3_ORG.tif,R2,c3,ORG,B1640-T8-3-Scene-001,555,B1640-T8-3,200.0,2.0
Registered-R2_488.555_B1640-T8-4-Scene-001_c1_ORG.tif,R2,c1,ORG,B1640-T8-4-Scene-001,DAPI,B1640-T8-4,5.0,2.0
Registered-R2_488.555_B1640-T8-4-Scene-001_c2_ORG.tif,R2,c2,ORG,B1640-T8-4-Scene-001,488,B1640-T8-4,50.0,2.0
Registered-R2_488.555_B1640-T8-4-Scene-001_c3_ORG.tif,R2,c3,ORG,B1640-T8-4-Scene-001,555,B1640-T8-4,200.0,2.0
Registered-R2_488.555_B1640-T8-5-Scene-001_c1_ORG.tif,R2,c1,ORG,B1640-T8-5-Scene-001,DAPI,B1640-T8-5,5.0,2.0
Registered-R2_488.555_B1640-T8-5-Scene-001_c2_ORG.tif,R2,c2,ORG,B1640-T8-5-Scene-001,488,B1640-T8-5,50.0,2.0
Registered-R2_488.555_B1640-T8-5-Scene-001_c3_ORG.tif,R2,c3,ORG,B1640-T8-5-Scene-001,555,B1640-T8-5,200.0,2.0
Registered-R2_488.555_B1640-T8-6-Scene-001_c1_ORG.tif,R2,c1,ORG,B1640-T8-6-Scene-001,DAPI,B1640-T8-6,5.0,2.0
Registered-R2_488.555_B1640-T8-6-Scene-001_c2_ORG.tif,R2,c2,ORG,B1640-T8-6-Scene-001,488,B1640-T8-6,50.0,2.0
Registered-R2_488.555_B1640-T8-6-Scene-001_c3_ORG.tif,R2,c3,ORG,B1640-T8-6-Scene-001,555,B1640-T8-6,200.0,2.0
Registered-R3_488.555_B1640-T8-3-Scene-001_c1_ORG.tif,R3,c1,ORG,B1640-T8-3-Scene-001,DAPI,B1640-T8-3,10.0,3.0
Registered-R3_488.555_B1640-T8-3-Scene-001_c2_ORG.tif,R3,c2,ORG,B1640-T8-3-Scene-001,488,B1640-T8-3,50.0,3.0
Registered-R3_488.555_B1640-T8-3-Scene-001_c3_ORG.tif,R3,c3,ORG,B1640-T8-3-Scene-001,555,B1640-T8-3,200.0,3.0
Registered-R3_488.555_B1640-T8-4-Scene-001_c1_ORG.tif,R3,c1,ORG,B1640-T8-4-Scene-001,DAPI,B1640-T8-4,10.0,3.0
Registered-R3_488.555_B1640-T8-4-Scene-001_c2_ORG.tif,R3,c2,ORG,B1640-T8-4-Scene-001,488,B1640-T8-4,50.0,3.0
Registered-R3_488.555_B1640-T8-4-Scene-001_c3_ORG.tif,R3,c3,ORG,B1640-T8-4-Scene-001,555,B1640-T8-4,200.0,3.0
Registered-R3_488.555_B1640-T8-5-Scene-001_c1_ORG.tif,R3,c1,ORG,B1640-T8-5-Scene-001,DAPI,B1640-T8-5,10.0,3.0
Registered-R3_488.555_B1640-T8-5-Scene-001_c2_ORG.tif,R3,c2,ORG,B1640-T8-5-Scene-001,488,B1640-T8-5,50.0,3.0
Registered-R3_488.555_B1640-T8-5-Scene-001_c3_ORG.tif,R3,c3,ORG,B1640-T8-5-Scene-001,555,B1640-T8-5,200.0,3.0
