,marker,rounds,color,minimum,max,exposure,refexp,location,slide
BM-Her2N75-15_0,CD20,R1,c2,5500,12000,160,160,Ring,BM-Her2N75-15
BM-Her2N75-15_1,CD8,R1,c3,2700,12000,120,120,Ring,BM-Her2N75-15
BM-Her2N75-15_2,CD4,R1,c4,3000,20000,1000,1000,Ring,BM-Her2N75-15
BM-Her2N75-15_3,CK19,R1,c5,1000,50000,1000,1000,Ring,BM-Her2N75-15
BM-Her2N75-15_4,PCNA,R2,c2,3000,15000,80,80,Nucleus,BM-Her2N75-15
BM-Her2N75-15_5,HER2,R2,c3,3200,30000,60,60,Ring,BM-Her2N75-15
BM-Her2N75-15_6,ER,R2,c4,3000,30000,1500,1500,Nucleus,BM-Her2N75-15
BM-Her2N75-15_7,CD45,R2,c5,3200,30000,2000,2000,Ring,BM-Her2N75-15
BM-Her2N75-15_8,pHH3,R3,c2,2000,25000,80,80,Nucleus,BM-Her2N75-15
BM-Her2N75-15_9,CK14,R3,c3,3700,65535,40,120,Ring,BM-Her2N75-15
BM-Her2N75-15_10,CD44,R3,c4,5000,40000,750,1000,Ring,BM-Her2N75-15
BM-Her2N75-15_11,CK5,R3,c5,3000,50000,750,750,Ring,BM-Her2N75-15
BM-Her2N75-15_12,Vim,R4,c2,1300,15000,80,60,Ring,BM-Her2N75-15
BM-Her2N75-15_13,CK7,R4,c3,1500,45000,35,35,Ring,BM-Her2N75-15
BM-Her2N75-15_14,PD1,R4,c4,2000,15000,1500,1500,Ring,BM-Her2N75-15
BM-Her2N75-15_15,LamAC,R4,c5,1500,35000,1500,1500,Nucleus,BM-Her2N75-15
BM-Her2N75-15_16,aSMA,R5,c2,2000,45000,80,60,Ring,BM-Her2N75-15
BM-Her2N75-15_17,CD68,R5,c3,1000,30000,80,50,Ring,BM-Her2N75-15
BM-Her2N75-15_18,Ki67,R5,c4,1500,50000,300,300,Nucleus,BM-Her2N75-15
BM-Her2N75-15_19,Ecad,R5,c5,2500,30000,2000,1500,Ring,BM-Her2N75-15
BM-Her2N75-17_0,CD20,R1,c2,6000,12000,160,160,Ring,BM-Her2N75-17
BM-Her2N75-17_1,CD8,R1,c3,2500,12000,120,80,Ring,BM-Her2N75-17
BM-Her2N75-17_2,CD4,R1,c4,3200,25000,1000,750,Ring,BM-Her2N75-17
BM-Her2N75-17_3,CK19,R1,c5,1100,65535,1000,1000,Ring,BM-Her2N75-17
BM-Her2N75-17_4,PCNA,R2,c2,3500,20000,80,80,Nucleus,BM-Her2N75-17
