,0,1,2,3,4
R14_aSMA.CD68.CD4.Ecad_Her2B-K157_2019_03_14__12_15__1351S-Scene-006.czi,10.0,30.0,50.0,1000.0,300.0
R13_CK5.Her2.ER.CD45_Her2B-K157_2019_03_13__13_04__1339S-Scene-006.czi,20.0,22.0,100.0,650.0,900.0
R9_CK8.cPARP.pRB.FoxP3_Her2B-K157_2019_03_06__11_23__1264S-Scene-006.czi,10.0,50.0,1200.0,2000.0,1200.0
R20_CK8.cPARP.pRB.LamAC_Her2B-K157_2019_03_25__12_32__1458S-Scene-006.czi,20.0,50.0,1500.0,1500.0,760.0
R6_pHH3.pS6.pERK.CD20_Her2B-K157_2019_03_01__12_31__1249S-Scene-006.czi,22.0,22.0,750.0,1000.0,900.0
R17_pHH3.pS6.pERK.CD20_Her2B-K157_2019_03_19__10_45__1398S-Scene-006.czi,20.0,18.0,260.0,1000.0,600.0
R2_CK5.Her2.ER.CD45_Her2B-K157_2019_02_25__10_12__1201S-Scene-006.czi,20.0,20.0,80.0,1000.0,350.0
R4_Vimentin.AR.CD31.CD44_Her2B-K157_2019_02_27__13_33__1237S-Scene-006.czi,20.0,28.0,1000.0,650.0,200.0
R7_CK17.EGFR.pAKt.GRNZB_Her2B-K157_2019_03_04__11_58__1255S-Scene-006.czi,10.0,50.0,260.0,1000.0,26.0
R19_H3K27.PDPN.gH2AX.ColI_Her2B-K157_2019_03_24__19_02__1443S-Scene-006.czi,20.0,60.0,300.0,220.0,24.0
R15_Vimentin.AR.CD31.CD44_Her2B-K157_2019_03_15__13_20__1373S-Scene-006.czi,10.0,200.0,600.0,250.0,180.0
R8_H3K27.PDPN.gH2AX.LamAC_Her2B-K157_2019_03_05__10_10__1259S-Scene-006.czi,10.0,55.0,300.0,100.0,300.0
R22Q_AF488.AF555.AF647.AF750_Her2B-K157_2019_03_30__20_33__1498S-Scene-006.czi,20.0,65.0,600.0,400.0,400.0
R11_S100.AR.LaminB2.CD45_Her2B-K157_2019_03_08__11_57__1275S-Scene-006.czi,10.0,65.0,1000.0,400.0,1000.0
R10_LaminB1.H3K4.ColIV.ColI_Her2B-K157_2019_03_07__11_41__1269-1S-Scene-006.czi,10.0,200.0,900.0,1500.0,200.0
R22_S100.CD8.LamB2.CD3_Her2B-K157_2019_03_28__12_04__1485S-Scene-006.czi,20.0,65.0,600.0,400.0,400.0
R18_CK17.EGFR.pAKt.GRNZB_Her2B-K157_2019_03_21__10_02__1440S-Scene-006.czi,5.0,28.0,260.0,1000.0,26.0
R21_LamB1.H3K4.ColIV.FoxP3_Her2B-K157_2019_03_26__14_45__1480S-Scene-006.czi,20.0,50.0,600.0,100.0,1500.0
R1_PCNA.CD8.PD1.CK19_Her2B-K157_2019_02_22__11_22__1196S-Scene-006.czi,20.0,60.0,400.0,600.0,60.0
R3_aSMA.CD68.CD4.Ecad_Her2B-K157_2019_02_26__10_11__1212S-Scene-006.czi,20.0,12.0,100.0,750.0,360.0
R5_CK7.CK14.Ki67.PgR_Her2B-K157_2019_02_28__10_22__1244S-Scene-006.czi,20.0,22.0,15.0,360.0,600.0
R16_CK7.CK14.Ki67.PgR_Her2B-K157_2019_03_18__11_27__1384S-Scene-006.czi,20.0,18.0,40.0,400.0,260.0
R11Q_AF488.AF555.AF647.AF750_Her2B-K157_2019_03_11__13_47__1283S-Scene-006.czi,10.0,50.0,200.0,500.0,500.0
R12_PCNA.CD8.CD4.CK19_Her2B-K157_2019_03_12__13_31__1312S-Scene-006.czi,20.0,45.0,400.0,1100.0,30.0
R0_AF488.AF555.AF647.AF750_Her2B-K157_2019_02_21__14_30__1189S-Scene-006.czi,20.0,50.0,200.0,500.0,500.0
