,rounds,color,imagetype,scene,marker
Registered-R0_L488.L555.L647.L750_Her2B-K157-Scene-002_c1_ORG.tif,R0,c1,ORG,Her2B-K157-Scene-002,DAPI
Registered-R0_L488.L555.L647.L750_Her2B-K157-Scene-002_c2_ORG.tif,R0,c2,ORG,Her2B-K157-Scene-002,L488
Registered-R0_L488.L555.L647.L750_Her2B-K157-Scene-002_c3_ORG.tif,R0,c3,ORG,Her2B-K157-Scene-002,L555
Registered-R0_L488.L555.L647.L750_Her2B-K157-Scene-002_c4_ORG.tif,R0,c4,ORG,Her2B-K157-Scene-002,L647
Registered-R0_L488.L555.L647.L750_Her2B-K157-Scene-002_c5_ORG.tif,R0,c5,ORG,Her2B-K157-Scene-002,L750
Registered-R0_L488.L555.L647.L750_Her2B-K157-Scene-006_c1_ORG.tif,R0,c1,ORG,Her2B-K157-Scene-006,DAPI
Registered-R0_L488.L555.L647.L750_Her2B-K157-Scene-006_c2_ORG.tif,R0,c2,ORG,Her2B-K157-Scene-006,L488
Registered-R0_L488.L555.L647.L750_Her2B-K157-Scene-006_c3_ORG.tif,R0,c3,ORG,Her2B-K157-Scene-006,L555
Registered-R0_L488.L555.L647.L750_Her2B-K157-Scene-006_c4_ORG.tif,R0,c4,ORG,Her2B-K157-Scene-006,L647
Registered-R0_L488.L555.L647.L750_Her2B-K157-Scene-006_c5_ORG.tif,R0,c5,ORG,Her2B-K157-Scene-006,L750
Registered-R0_L488.L555.L647.L750_Her2B-K157-Scene-008_c1_ORG.tif,R0,c1,ORG,Her2B-K157-Scene-008,DAPI
Registered-R0_L488.L555.L647.L750_Her2B-K157-Scene-008_c2_ORG.tif,R0,c2,ORG,Her2B-K157-Scene-008,L488
Registered-R0_L488.L555.L647.L750_Her2B-K157-Scene-008_c3_ORG.tif,R0,c3,ORG,Her2B-K157-Scene-008,L555
Registered-R0_L488.L555.L647.L750_Her2B-K157-Scene-008_c4_ORG.tif,R0,c4,ORG,Her2B-K157-Scene-008,L647
Registered-R0_L488.L555.L647.L750_Her2B-K157-Scene-008_c5_ORG.tif,R0,c5,ORG,Her2B-K157-Scene-008,L750
Registered-R1_PCNA.CD8.PD1.CK19_Her2B-K157-Scene-002_c1_ORG.tif,R1,c1,ORG,Her2B-K157-Scene-002,DAPI
Registered-R1_PCNA.CD8.PD1.CK19_Her2B-K157-Scene-002_c2_ORG.tif,R1,c2,ORG,Her2B-K157-Scene-002,PCNA
Registered-R1_PCNA.CD8.PD1.CK19_Her2B-K157-Scene-002_c3_ORG.tif,R1,c3,ORG,Her2B-K157-Scene-002,CD8
Registered-R1_PCNA.CD8.PD1.CK19_Her2B-K157-Scene-002_c4_ORG.tif,R1,c4,ORG,Her2B-K157-Scene-002,PD1
Registered-R1_PCNA.CD8.PD1.CK19_Her2B-K157-Scene-002_c5_ORG.tif,R1,c5,ORG,Her2B-K157-Scene-002,CK19
Registered-R1_PCNA.CD8.PD1.CK19_Her2B-K157-Scene-006_c1_ORG.tif,R1,c1,ORG,Her2B-K157-Scene-006,DAPI
Registered-R1_PCNA.CD8.PD1.CK19_Her2B-K157-Scene-006_c2_ORG.tif,R1,c2,ORG,Her2B-K157-Scene-006,PCNA
Registered-R1_PCNA.CD8.PD1.CK19_Her2B-K157-Scene-006_c3_ORG.tif,R1,c3,ORG,Her2B-K157-Scene-006,CD8
Registered-R1_PCNA.CD8.PD1.CK19_Her2B-K157-Scene-006_c4_ORG.tif,R1,c4,ORG,Her2B-K157-Scene-006,PD1
Registered-R1_PCNA.CD8.PD1.CK19_Her2B-K157-Scene-006_c5_ORG.tif,R1,c5,ORG,Her2B-K157-Scene-006,CK19
Registered-R1_PCNA.CD8.PD1.CK19_Her2B-K157-Scene-008_c1_ORG.tif,R1,c1,ORG,Her2B-K157-Scene-008,DAPI
Registered-R1_PCNA.CD8.PD1.CK19_Her2B-K157-Scene-008_c2_ORG.tif,R1,c2,ORG,Her2B-K157-Scene-008,PCNA
Registered-R1_PCNA.CD8.PD1.CK19_Her2B-K157-Scene-008_c3_ORG.tif,R1,c3,ORG,Her2B-K157-Scene-008,CD8
Registered-R1_PCNA.CD8.PD1.CK19_Her2B-K157-Scene-008_c4_ORG.tif,R1,c4,ORG,Her2B-K157-Scene-008,PD1
Registered-R1_PCNA.CD8.PD1.CK19_Her2B-K157-Scene-008_c5_ORG.tif,R1,c5,ORG,Her2B-K157-Scene-008,CK19
Registered-R10_LamB1.H3K4.ColIV.ColI_Her2B-K157-Scene-002_c1_ORG.tif,R10,c1,ORG,Her2B-K157-Scene-002,DAPI
Registered-R10_LamB1.H3K4.ColIV.ColI_Her2B-K157-Scene-002_c2_ORG.tif,R10,c2,ORG,Her2B-K157-Scene-002,LamB1
Registered-R10_LamB1.H3K4.ColIV.ColI_Her2B-K157-Scene-002_c3_ORG.tif,R10,c3,ORG,Her2B-K157-Scene-002,H3K4
Registered-R10_LamB1.H3K4.ColIV.ColI_Her2B-K157-Scene-002_c4_ORG.tif,R10,c4,ORG,Her2B-K157-Scene-002,ColIV
Registered-R10_LamB1.H3K4.ColIV.ColI_Her2B-K157-Scene-002_c5_ORG.tif,R10,c5,ORG,Her2B-K157-Scene-002,ColI
Registered-R10_LamB1.H3K4.ColIV.ColI_Her2B-K157-Scene-006_c1_ORG.tif,R10,c1,ORG,Her2B-K157-Scene-006,DAPI
Registered-R10_LamB1.H3K4.ColIV.ColI_Her2B-K157-Scene-006_c2_ORG.tif,R10,c2,ORG,Her2B-K157-Scene-006,LamB1
Registered-R10_LamB1.H3K4.ColIV.ColI_Her2B-K157-Scene-006_c3_ORG.tif,R10,c3,ORG,Her2B-K157-Scene-006,H3K4
Registered-R10_LamB1.H3K4.ColIV.ColI_Her2B-K157-Scene-006_c4_ORG.tif,R10,c4,ORG,Her2B-K157-Scene-006,ColIV
Registered-R10_LamB1.H3K4.ColIV.ColI_Her2B-K157-Scene-006_c5_ORG.tif,R10,c5,ORG,Her2B-K157-Scene-006,ColI
Registered-R10_LamB1.H3K4.ColIV.ColI_Her2B-K157-Scene-008_c1_ORG.tif,R10,c1,ORG,Her2B-K157-Scene-008,DAPI
Registered-R10_LamB1.H3K4.ColIV.ColI_Her2B-K157-Scene-008_c2_ORG.tif,R10,c2,ORG,Her2B-K157-Scene-008,LamB1
Registered-R10_LamB1.H3K4.ColIV.ColI_Her2B-K157-Scene-008_c3_ORG.tif,R10,c3,ORG,Her2B-K157-Scene-008,H3K4
Registered-R10_LamB1.H3K4.ColIV.ColI_Her2B-K157-Scene-008_c4_ORG.tif,R10,c4,ORG,Her2B-K157-Scene-008,ColIV
Registered-R10_LamB1.H3K4.ColIV.ColI_Her2B-K157-Scene-008_c5_ORG.tif,R10,c5,ORG,Her2B-K157-Scene-008,ColI
Registered-R11_S100.AR.LamB2.CD45_Her2B-K157-Scene-002_c1_ORG.tif,R11,c1,ORG,Her2B-K157-Scene-002,DAPI
Registered-R11_S100.AR.LamB2.CD45_Her2B-K157-Scene-002_c2_ORG.tif,R11,c2,ORG,Her2B-K157-Scene-002,S100
Registered-R11_S100.AR.LamB2.CD45_Her2B-K157-Scene-002_c3_ORG.tif,R11,c3,ORG,Her2B-K157-Scene-002,AR
Registered-R11_S100.AR.LamB2.CD45_Her2B-K157-Scene-002_c4_ORG.tif,R11,c4,ORG,Her2B-K157-Scene-002,LamB2
Registered-R11_S100.AR.LamB2.CD45_Her2B-K157-Scene-002_c5_ORG.tif,R11,c5,ORG,Her2B-K157-Scene-002,CD45
Registered-R11_S100.AR.LamB2.CD45_Her2B-K157-Scene-006_c1_ORG.tif,R11,c1,ORG,Her2B-K157-Scene-006,DAPI
Registered-R11_S100.AR.LamB2.CD45_Her2B-K157-Scene-006_c2_ORG.tif,R11,c2,ORG,Her2B-K157-Scene-006,S100
Registered-R11_S100.AR.LamB2.CD45_Her2B-K157-Scene-006_c3_ORG.tif,R11,c3,ORG,Her2B-K157-Scene-006,AR
Registered-R11_S100.AR.LamB2.CD45_Her2B-K157-Scene-006_c4_ORG.tif,R11,c4,ORG,Her2B-K157-Scene-006,LamB2
Registered-R11_S100.AR.LamB2.CD45_Her2B-K157-Scene-006_c5_ORG.tif,R11,c5,ORG,Her2B-K157-Scene-006,CD45
Registered-R11_S100.AR.LamB2.CD45_Her2B-K157-Scene-008_c1_ORG.tif,R11,c1,ORG,Her2B-K157-Scene-008,DAPI
Registered-R11_S100.AR.LamB2.CD45_Her2B-K157-Scene-008_c2_ORG.tif,R11,c2,ORG,Her2B-K157-Scene-008,S100
Registered-R11_S100.AR.LamB2.CD45_Her2B-K157-Scene-008_c3_ORG.tif,R11,c3,ORG,Her2B-K157-Scene-008,AR
Registered-R11_S100.AR.LamB2.CD45_Her2B-K157-Scene-008_c4_ORG.tif,R11,c4,ORG,Her2B-K157-Scene-008,LamB2
Registered-R11_S100.AR.LamB2.CD45_Her2B-K157-Scene-008_c5_ORG.tif,R11,c5,ORG,Her2B-K157-Scene-008,CD45
Registered-R11Q_AF488.AF555.AF647.AF750_Her2B-K157-Scene-002_c1_ORG.tif,R11Q,c1,ORG,Her2B-K157-Scene-002,DAPI
Registered-R11Q_AF488.AF555.AF647.AF750_Her2B-K157-Scene-002_c2_ORG.tif,R11Q,c2,ORG,Her2B-K157-Scene-002,AF488
Registered-R11Q_AF488.AF555.AF647.AF750_Her2B-K157-Scene-002_c3_ORG.tif,R11Q,c3,ORG,Her2B-K157-Scene-002,AF555
Registered-R11Q_AF488.AF555.AF647.AF750_Her2B-K157-Scene-002_c4_ORG.tif,R11Q,c4,ORG,Her2B-K157-Scene-002,AF647
Registered-R11Q_AF488.AF555.AF647.AF750_Her2B-K157-Scene-002_c5_ORG.tif,R11Q,c5,ORG,Her2B-K157-Scene-002,AF750
Registered-R11Q_AF488.AF555.AF647.AF750_Her2B-K157-Scene-006_c1_ORG.tif,R11Q,c1,ORG,Her2B-K157-Scene-006,DAPI
Registered-R11Q_AF488.AF555.AF647.AF750_Her2B-K157-Scene-006_c2_ORG.tif,R11Q,c2,ORG,Her2B-K157-Scene-006,AF488
Registered-R11Q_AF488.AF555.AF647.AF750_Her2B-K157-Scene-006_c3_ORG.tif,R11Q,c3,ORG,Her2B-K157-Scene-006,AF555
Registered-R11Q_AF488.AF555.AF647.AF750_Her2B-K157-Scene-006_c4_ORG.tif,R11Q,c4,ORG,Her2B-K157-Scene-006,AF647
Registered-R11Q_AF488.AF555.AF647.AF750_Her2B-K157-Scene-006_c5_ORG.tif,R11Q,c5,ORG,Her2B-K157-Scene-006,AF750
Registered-R11Q_AF488.AF555.AF647.AF750_Her2B-K157-Scene-008_c1_ORG.tif,R11Q,c1,ORG,Her2B-K157-Scene-008,DAPI
Registered-R11Q_AF488.AF555.AF647.AF750_Her2B-K157-Scene-008_c2_ORG.tif,R11Q,c2,ORG,Her2B-K157-Scene-008,AF488
Registered-R11Q_AF488.AF555.AF647.AF750_Her2B-K157-Scene-008_c3_ORG.tif,R11Q,c3,ORG,Her2B-K157-Scene-008,AF555
Registered-R11Q_AF488.AF555.AF647.AF750_Her2B-K157-Scene-008_c4_ORG.tif,R11Q,c4,ORG,Her2B-K157-Scene-008,AF647
Registered-R11Q_AF488.AF555.AF647.AF750_Her2B-K157-Scene-008_c5_ORG.tif,R11Q,c5,ORG,Her2B-K157-Scene-008,AF750
Registered-R12_PCNA.CD8.PD1.CK19_Her2B-K157-Scene-002_c1_ORG.tif,R12,c1,ORG,Her2B-K157-Scene-002,DAPI
Registered-R12_PCNA.CD8.PD1.CK19_Her2B-K157-Scene-002_c2_ORG.tif,R12,c2,ORG,Her2B-K157-Scene-002,PCNA
Registered-R12_PCNA.CD8.PD1.CK19_Her2B-K157-Scene-002_c3_ORG.tif,R12,c3,ORG,Her2B-K157-Scene-002,CD8
Registered-R12_PCNA.CD8.PD1.CK19_Her2B-K157-Scene-002_c4_ORG.tif,R12,c4,ORG,Her2B-K157-Scene-002,PD1
Registered-R12_PCNA.CD8.PD1.CK19_Her2B-K157-Scene-002_c5_ORG.tif,R12,c5,ORG,Her2B-K157-Scene-002,CK19
Registered-R12_PCNA.CD8.PD1.CK19_Her2B-K157-Scene-006_c1_ORG.tif,R12,c1,ORG,Her2B-K157-Scene-006,DAPI
Registered-R12_PCNA.CD8.PD1.CK19_Her2B-K157-Scene-006_c2_ORG.tif,R12,c2,ORG,Her2B-K157-Scene-006,PCNA
Registered-R12_PCNA.CD8.PD1.CK19_Her2B-K157-Scene-006_c3_ORG.tif,R12,c3,ORG,Her2B-K157-Scene-006,CD8
Registered-R12_PCNA.CD8.PD1.CK19_Her2B-K157-Scene-006_c4_ORG.tif,R12,c4,ORG,Her2B-K157-Scene-006,PD1
Registered-R12_PCNA.CD8.PD1.CK19_Her2B-K157-Scene-006_c5_ORG.tif,R12,c5,ORG,Her2B-K157-Scene-006,CK19
Registered-R12_PCNA.CD8.PD1.CK19_Her2B-K157-Scene-008_c1_ORG.tif,R12,c1,ORG,Her2B-K157-Scene-008,DAPI
Registered-R12_PCNA.CD8.PD1.CK19_Her2B-K157-Scene-008_c2_ORG.tif,R12,c2,ORG,Her2B-K157-Scene-008,PCNA
Registered-R12_PCNA.CD8.PD1.CK19_Her2B-K157-Scene-008_c3_ORG.tif,R12,c3,ORG,Her2B-K157-Scene-008,CD8
Registered-R12_PCNA.CD8.PD1.CK19_Her2B-K157-Scene-008_c4_ORG.tif,R12,c4,ORG,Her2B-K157-Scene-008,PD1
Registered-R12_PCNA.CD8.PD1.CK19_Her2B-K157-Scene-008_c5_ORG.tif,R12,c5,ORG,Her2B-K157-Scene-008,CK19
Registered-R13_CK5.HER2.ER.CD45_Her2B-K157-Scene-002_c1_ORG.tif,R13,c1,ORG,Her2B-K157-Scene-002,DAPI
Registered-R13_CK5.HER2.ER.CD45_Her2B-K157-Scene-002_c2_ORG.tif,R13,c2,ORG,Her2B-K157-Scene-002,CK5
Registered-R13_CK5.HER2.ER.CD45_Her2B-K157-Scene-002_c3_ORG.tif,R13,c3,ORG,Her2B-K157-Scene-002,HER2
Registered-R13_CK5.HER2.ER.CD45_Her2B-K157-Scene-002_c4_ORG.tif,R13,c4,ORG,Her2B-K157-Scene-002,ER
Registered-R13_CK5.HER2.ER.CD45_Her2B-K157-Scene-002_c5_ORG.tif,R13,c5,ORG,Her2B-K157-Scene-002,CD45
Registered-R13_CK5.HER2.ER.CD45_Her2B-K157-Scene-006_c1_ORG.tif,R13,c1,ORG,Her2B-K157-Scene-006,DAPI
Registered-R13_CK5.HER2.ER.CD45_Her2B-K157-Scene-006_c2_ORG.tif,R13,c2,ORG,Her2B-K157-Scene-006,CK5
Registered-R13_CK5.HER2.ER.CD45_Her2B-K157-Scene-006_c3_ORG.tif,R13,c3,ORG,Her2B-K157-Scene-006,HER2
Registered-R13_CK5.HER2.ER.CD45_Her2B-K157-Scene-006_c4_ORG.tif,R13,c4,ORG,Her2B-K157-Scene-006,ER
Registered-R13_CK5.HER2.ER.CD45_Her2B-K157-Scene-006_c5_ORG.tif,R13,c5,ORG,Her2B-K157-Scene-006,CD45
Registered-R13_CK5.HER2.ER.CD45_Her2B-K157-Scene-008_c1_ORG.tif,R13,c1,ORG,Her2B-K157-Scene-008,DAPI
Registered-R13_CK5.HER2.ER.CD45_Her2B-K157-Scene-008_c2_ORG.tif,R13,c2,ORG,Her2B-K157-Scene-008,CK5
Registered-R13_CK5.HER2.ER.CD45_Her2B-K157-Scene-008_c3_ORG.tif,R13,c3,ORG,Her2B-K157-Scene-008,HER2
Registered-R13_CK5.HER2.ER.CD45_Her2B-K157-Scene-008_c4_ORG.tif,R13,c4,ORG,Her2B-K157-Scene-008,ER
Registered-R13_CK5.HER2.ER.CD45_Her2B-K157-Scene-008_c5_ORG.tif,R13,c5,ORG,Her2B-K157-Scene-008,CD45
Registered-R14_aSMA.CD68.CD4.Ecad_Her2B-K157-Scene-002_c1_ORG.tif,R14,c1,ORG,Her2B-K157-Scene-002,DAPI
Registered-R14_aSMA.CD68.CD4.Ecad_Her2B-K157-Scene-002_c2_ORG.tif,R14,c2,ORG,Her2B-K157-Scene-002,aSMA
Registered-R14_aSMA.CD68.CD4.Ecad_Her2B-K157-Scene-002_c3_ORG.tif,R14,c3,ORG,Her2B-K157-Scene-002,CD68
Registered-R14_aSMA.CD68.CD4.Ecad_Her2B-K157-Scene-002_c4_ORG.tif,R14,c4,ORG,Her2B-K157-Scene-002,CD4
Registered-R14_aSMA.CD68.CD4.Ecad_Her2B-K157-Scene-002_c5_ORG.tif,R14,c5,ORG,Her2B-K157-Scene-002,Ecad
Registered-R14_aSMA.CD68.CD4.Ecad_Her2B-K157-Scene-006_c1_ORG.tif,R14,c1,ORG,Her2B-K157-Scene-006,DAPI
Registered-R14_aSMA.CD68.CD4.Ecad_Her2B-K157-Scene-006_c2_ORG.tif,R14,c2,ORG,Her2B-K157-Scene-006,aSMA
Registered-R14_aSMA.CD68.CD4.Ecad_Her2B-K157-Scene-006_c3_ORG.tif,R14,c3,ORG,Her2B-K157-Scene-006,CD68
Registered-R14_aSMA.CD68.CD4.Ecad_Her2B-K157-Scene-006_c4_ORG.tif,R14,c4,ORG,Her2B-K157-Scene-006,CD4
Registered-R14_aSMA.CD68.CD4.Ecad_Her2B-K157-Scene-006_c5_ORG.tif,R14,c5,ORG,Her2B-K157-Scene-006,Ecad
Registered-R14_aSMA.CD68.CD4.Ecad_Her2B-K157-Scene-008_c1_ORG.tif,R14,c1,ORG,Her2B-K157-Scene-008,DAPI
Registered-R14_aSMA.CD68.CD4.Ecad_Her2B-K157-Scene-008_c2_ORG.tif,R14,c2,ORG,Her2B-K157-Scene-008,aSMA
Registered-R14_aSMA.CD68.CD4.Ecad_Her2B-K157-Scene-008_c3_ORG.tif,R14,c3,ORG,Her2B-K157-Scene-008,CD68
Registered-R14_aSMA.CD68.CD4.Ecad_Her2B-K157-Scene-008_c4_ORG.tif,R14,c4,ORG,Her2B-K157-Scene-008,CD4
Registered-R14_aSMA.CD68.CD4.Ecad_Her2B-K157-Scene-008_c5_ORG.tif,R14,c5,ORG,Her2B-K157-Scene-008,Ecad
Registered-R15_Vim.AR.CD31.CD44_Her2B-K157-Scene-002_c1_ORG.tif,R15,c1,ORG,Her2B-K157-Scene-002,DAPI
Registered-R15_Vim.AR.CD31.CD44_Her2B-K157-Scene-002_c2_ORG.tif,R15,c2,ORG,Her2B-K157-Scene-002,Vim
Registered-R15_Vim.AR.CD31.CD44_Her2B-K157-Scene-002_c3_ORG.tif,R15,c3,ORG,Her2B-K157-Scene-002,AR
Registered-R15_Vim.AR.CD31.CD44_Her2B-K157-Scene-002_c4_ORG.tif,R15,c4,ORG,Her2B-K157-Scene-002,CD31
Registered-R15_Vim.AR.CD31.CD44_Her2B-K157-Scene-002_c5_ORG.tif,R15,c5,ORG,Her2B-K157-Scene-002,CD44
Registered-R15_Vim.AR.CD31.CD44_Her2B-K157-Scene-006_c1_ORG.tif,R15,c1,ORG,Her2B-K157-Scene-006,DAPI
Registered-R15_Vim.AR.CD31.CD44_Her2B-K157-Scene-006_c2_ORG.tif,R15,c2,ORG,Her2B-K157-Scene-006,Vim
Registered-R15_Vim.AR.CD31.CD44_Her2B-K157-Scene-006_c3_ORG.tif,R15,c3,ORG,Her2B-K157-Scene-006,AR
Registered-R15_Vim.AR.CD31.CD44_Her2B-K157-Scene-006_c4_ORG.tif,R15,c4,ORG,Her2B-K157-Scene-006,CD31
Registered-R15_Vim.AR.CD31.CD44_Her2B-K157-Scene-006_c5_ORG.tif,R15,c5,ORG,Her2B-K157-Scene-006,CD44
Registered-R15_Vim.AR.CD31.CD44_Her2B-K157-Scene-008_c1_ORG.tif,R15,c1,ORG,Her2B-K157-Scene-008,DAPI
Registered-R15_Vim.AR.CD31.CD44_Her2B-K157-Scene-008_c2_ORG.tif,R15,c2,ORG,Her2B-K157-Scene-008,Vim
Registered-R15_Vim.AR.CD31.CD44_Her2B-K157-Scene-008_c3_ORG.tif,R15,c3,ORG,Her2B-K157-Scene-008,AR
Registered-R15_Vim.AR.CD31.CD44_Her2B-K157-Scene-008_c4_ORG.tif,R15,c4,ORG,Her2B-K157-Scene-008,CD31
Registered-R15_Vim.AR.CD31.CD44_Her2B-K157-Scene-008_c5_ORG.tif,R15,c5,ORG,Her2B-K157-Scene-008,CD44
Registered-R16_CK7.CK14.Ki67.PgR_Her2B-K157-Scene-002_c1_ORG.tif,R16,c1,ORG,Her2B-K157-Scene-002,DAPI
Registered-R16_CK7.CK14.Ki67.PgR_Her2B-K157-Scene-002_c2_ORG.tif,R16,c2,ORG,Her2B-K157-Scene-002,CK7
Registered-R16_CK7.CK14.Ki67.PgR_Her2B-K157-Scene-002_c3_ORG.tif,R16,c3,ORG,Her2B-K157-Scene-002,CK14
Registered-R16_CK7.CK14.Ki67.PgR_Her2B-K157-Scene-002_c4_ORG.tif,R16,c4,ORG,Her2B-K157-Scene-002,Ki67
Registered-R16_CK7.CK14.Ki67.PgR_Her2B-K157-Scene-002_c5_ORG.tif,R16,c5,ORG,Her2B-K157-Scene-002,PgR
