,0,1,2,3,4
R4_CK5.EGFR.pRB.LamAC_HER2B-K175_2019_10_11__12_16__2589-Scene-01.czi,10,30,350,1000,250
R12Q_R12Qc2.R12Qc3.R12Qc4.R12Qc5_HER2B-K175_2019_10_24__17_29__2739-Scene-01.czi,10,50,200,500,500
R2_PCNA.Her2.ER.Ecad_HER2B-K175_2019_10_09__15_11__2569-Scene-01.czi,10,50,50,500,150
R5Q_R5Qc2.R5Qc3.R5Qc4.R5Qc5_HER2B-K175_2019_10_14__14_14__2613-Scene-01.czi,15,50,200,500,500
R12_Glut1.PDGFRa.LamB2.BMP2_HER2B-K175_2019_10_24__10_13__2721-Scene-01.czi,10,45,300,300,500
R10_H3K27.pS6RP.CD31.GRNZB_HER2B-K175_2019_10_21__10_27__2690-Scene-01.czi,10,20,400,300,200
R5_pHH3.PDPN.pERK.FoxP3_HER2B-K175_2019_10_14__10_00__2599-Scene-01.czi,10,20,500,1000,600
R1r_R1rC2.R1rC3.Ki67.R1rC5_HER2B-K175_2019_10_08__10_54__2547-Scene-01.czi,10,100,40,450,80
R9_CK17.H3K4.gH2AX.ColI_HER2B-K175_2019_10_18__10_44__2673-Scene-01.czi,10,30,400,200,20
R11_LamB1.CoxVI.HIF1a.CD3_HER2B-K175_2019_10_22__10_23__2707-Scene-01.czi,10,30,200,1000,400
R1_panCK.CK14.Ki67.CK19_HER2B-K175_2019_10_07__11_08__2537-Scene-01.czi,10,100,40,450,80
R0_R0c2.R0c3.R0c4.R0c5_HER2B-K175_2019_10_04__10_48__2526-Scene-01.czi,15,50,200,500,500
R8_CK8.cPARP.ColIV.CD20_HER2B-K175_2019_10_17__10_06__2659-Scene-01.czi,10,20,400,500,500
R3_aSMA.AR.pAKT.CD44_HER2B-K175_2019_10_10__12_30__2579-Scene-01.czi,10,50,250,500,150
R7_VIM.CD8.CD4.PgR_HER2B-K175_2019_10_16__10_05__2648-Scene-01.czi,10,20,500,250,500
R6_CK7.CD68.PD1.CD45_HER2B-K175_2019_10_15__10_23__2629-Scene-08.czi,10,20,300,800,400
