,rounds,color,imagetype,scene,marker,tissue,exposure,round_int
Registered-R0_R0c2.R0c3.R0c4.R0c5_HER2B-K175-Scene-02_c1_ORG.tif,R0,c1,ORG,HER2B-K175-Scene-02,DAPI,HER2B-K175,15.0,0.0
Registered-R0_R0c2.R0c3.R0c4.R0c5_HER2B-K175-Scene-02_c2_ORG.tif,R0,c2,ORG,HER2B-K175-Scene-02,R0c2,HER2B-K175,50.0,0.0
Registered-R0_R0c2.R0c3.R0c4.R0c5_HER2B-K175-Scene-02_c3_ORG.tif,R0,c3,ORG,HER2B-K175-Scene-02,R0c3,HER2B-K175,200.0,0.0
Registered-R0_R0c2.R0c3.R0c4.R0c5_HER2B-K175-Scene-02_c4_ORG.tif,R0,c4,ORG,HER2B-K175-Scene-02,R0c4,HER2B-K175,500.0,0.0
Registered-R0_R0c2.R0c3.R0c4.R0c5_HER2B-K175-Scene-02_c5_ORG.tif,R0,c5,ORG,HER2B-K175-Scene-02,R0c5,HER2B-K175,500.0,0.0
Registered-R0_R0c2.R0c3.R0c4.R0c5_HER2B-K175-Scene-06_c1_ORG.tif,R0,c1,ORG,HER2B-K175-Scene-06,DAPI,HER2B-K175,15.0,0.0
Registered-R0_R0c2.R0c3.R0c4.R0c5_HER2B-K175-Scene-06_c2_ORG.tif,R0,c2,ORG,HER2B-K175-Scene-06,R0c2,HER2B-K175,50.0,0.0
Registered-R0_R0c2.R0c3.R0c4.R0c5_HER2B-K175-Scene-06_c3_ORG.tif,R0,c3,ORG,HER2B-K175-Scene-06,R0c3,HER2B-K175,200.0,0.0
Registered-R0_R0c2.R0c3.R0c4.R0c5_HER2B-K175-Scene-06_c4_ORG.tif,R0,c4,ORG,HER2B-K175-Scene-06,R0c4,HER2B-K175,500.0,0.0
Registered-R0_R0c2.R0c3.R0c4.R0c5_HER2B-K175-Scene-06_c5_ORG.tif,R0,c5,ORG,HER2B-K175-Scene-06,R0c5,HER2B-K175,500.0,0.0
Registered-R0_R0c2.R0c3.R0c4.R0c5_HER2B-K175-Scene-08_c1_ORG.tif,R0,c1,ORG,HER2B-K175-Scene-08,DAPI,HER2B-K175,15.0,0.0
Registered-R0_R0c2.R0c3.R0c4.R0c5_HER2B-K175-Scene-08_c2_ORG.tif,R0,c2,ORG,HER2B-K175-Scene-08,R0c2,HER2B-K175,50.0,0.0
Registered-R0_R0c2.R0c3.R0c4.R0c5_HER2B-K175-Scene-08_c3_ORG.tif,R0,c3,ORG,HER2B-K175-Scene-08,R0c3,HER2B-K175,200.0,0.0
Registered-R0_R0c2.R0c3.R0c4.R0c5_HER2B-K175-Scene-08_c4_ORG.tif,R0,c4,ORG,HER2B-K175-Scene-08,R0c4,HER2B-K175,500.0,0.0
