,rounds,color,imagetype,scene,marker,tissue,exposure,round_int
Registered-R0_R0c2.R0c3.R0c4.R0c5_JE-TMA-42-Scene-01_c1_ORG.tif,R0,c1,ORG,JE-TMA-42-Scene-01,DAPI,JE-TMA-42,15.0,0.0
Registered-R0_R0c2.R0c3.R0c4.R0c5_JE-TMA-42-Scene-01_c2_ORG.tif,R0,c2,ORG,JE-TMA-42-Scene-01,R0c2,JE-TMA-42,50.0,0.0
Registered-R0_R0c2.R0c3.R0c4.R0c5_JE-TMA-42-Scene-01_c3_ORG.tif,R0,c3,ORG,JE-TMA-42-Scene-01,R0c3,JE-TMA-42,200.0,0.0
Registered-R0_R0c2.R0c3.R0c4.R0c5_JE-TMA-42-Scene-01_c4_ORG.tif,R0,c4,ORG,JE-TMA-42-Scene-01,R0c4,JE-TMA-42,500.0,0.0
Registered-R0_R0c2.R0c3.R0c4.R0c5_JE-TMA-42-Scene-01_c5_ORG.tif,R0,c5,ORG,JE-TMA-42-Scene-01,R0c5,JE-TMA-42,500.0,0.0
Registered-R0_R0c2.R0c3.R0c4.R0c5_JE-TMA-42-Scene-02_c1_ORG.tif,R0,c1,ORG,JE-TMA-42-Scene-02,DAPI,JE-TMA-42,15.0,0.0
Registered-R0_R0c2.R0c3.R0c4.R0c5_JE-TMA-42-Scene-02_c2_ORG.tif,R0,c2,ORG,JE-TMA-42-Scene-02,R0c2,JE-TMA-42,50.0,0.0
Registered-R0_R0c2.R0c3.R0c4.R0c5_JE-TMA-42-Scene-02_c3_ORG.tif,R0,c3,ORG,JE-TMA-42-Scene-02,R0c3,JE-TMA-42,200.0,0.0
Registered-R0_R0c2.R0c3.R0c4.R0c5_JE-TMA-42-Scene-02_c4_ORG.tif,R0,c4,ORG,JE-TMA-42-Scene-02,R0c4,JE-TMA-42,500.0,0.0
Registered-R0_R0c2.R0c3.R0c4.R0c5_JE-TMA-42-Scene-02_c5_ORG.tif,R0,c5,ORG,JE-TMA-42-Scene-02,R0c5,JE-TMA-42,500.0,0.0
Registered-R0_R0c2.R0c3.R0c4.R0c5_JE-TMA-42-Scene-03_c1_ORG.tif,R0,c1,ORG,JE-TMA-42-Scene-03,DAPI,JE-TMA-42,15.0,0.0
Registered-R0_R0c2.R0c3.R0c4.R0c5_JE-TMA-42-Scene-03_c2_ORG.tif,R0,c2,ORG,JE-TMA-42-Scene-03,R0c2,JE-TMA-42,50.0,0.0
Registered-R0_R0c2.R0c3.R0c4.R0c5_JE-TMA-42-Scene-03_c3_ORG.tif,R0,c3,ORG,JE-TMA-42-Scene-03,R0c3,JE-TMA-42,200.0,0.0
Registered-R0_R0c2.R0c3.R0c4.R0c5_JE-TMA-42-Scene-03_c4_ORG.tif,R0,c4,ORG,JE-TMA-42-Scene-03,R0c4,JE-TMA-42,500.0,0.0
Registered-R0_R0c2.R0c3.R0c4.R0c5_JE-TMA-42-Scene-03_c5_ORG.tif,R0,c5,ORG,JE-TMA-42-Scene-03,R0c5,JE-TMA-42,500.0,0.0
Registered-R0_R0c2.R0c3.R0c4.R0c5_JE-TMA-42-Scene-04_c1_ORG.tif,R0,c1,ORG,JE-TMA-42-Scene-04,DAPI,JE-TMA-42,15.0,0.0
Registered-R0_R0c2.R0c3.R0c4.R0c5_JE-TMA-42-Scene-04_c2_ORG.tif,R0,c2,ORG,JE-TMA-42-Scene-04,R0c2,JE-TMA-42,50.0,0.0
Registered-R0_R0c2.R0c3.R0c4.R0c5_JE-TMA-42-Scene-04_c3_ORG.tif,R0,c3,ORG,JE-TMA-42-Scene-04,R0c3,JE-TMA-42,200.0,0.0
Registered-R0_R0c2.R0c3.R0c4.R0c5_JE-TMA-42-Scene-04_c4_ORG.tif,R0,c4,ORG,JE-TMA-42-Scene-04,R0c4,JE-TMA-42,500.0,0.0
Registered-R0_R0c2.R0c3.R0c4.R0c5_JE-TMA-42-Scene-04_c5_ORG.tif,R0,c5,ORG,JE-TMA-42-Scene-04,R0c5,JE-TMA-42,500.0,0.0
Registered-R0_R0c2.R0c3.R0c4.R0c5_JE-TMA-42-Scene-05_c1_ORG.tif,R0,c1,ORG,JE-TMA-42-Scene-05,DAPI,JE-TMA-42,15.0,0.0
Registered-R0_R0c2.R0c3.R0c4.R0c5_JE-TMA-42-Scene-05_c2_ORG.tif,R0,c2,ORG,JE-TMA-42-Scene-05,R0c2,JE-TMA-42,50.0,0.0
Registered-R0_R0c2.R0c3.R0c4.R0c5_JE-TMA-42-Scene-05_c3_ORG.tif,R0,c3,ORG,JE-TMA-42-Scene-05,R0c3,JE-TMA-42,200.0,0.0
Registered-R0_R0c2.R0c3.R0c4.R0c5_JE-TMA-42-Scene-05_c4_ORG.tif,R0,c4,ORG,JE-TMA-42-Scene-05,R0c4,JE-TMA-42,500.0,0.0
Registered-R0_R0c2.R0c3.R0c4.R0c5_JE-TMA-42-Scene-05_c5_ORG.tif,R0,c5,ORG,JE-TMA-42-Scene-05,R0c5,JE-TMA-42,500.0,0.0
Registered-R0_R0c2.R0c3.R0c4.R0c5_JE-TMA-42-Scene-06_c1_ORG.tif,R0,c1,ORG,JE-TMA-42-Scene-06,DAPI,JE-TMA-42,15.0,0.0
Registered-R0_R0c2.R0c3.R0c4.R0c5_JE-TMA-42-Scene-06_c2_ORG.tif,R0,c2,ORG,JE-TMA-42-Scene-06,R0c2,JE-TMA-42,50.0,0.0
Registered-R0_R0c2.R0c3.R0c4.R0c5_JE-TMA-42-Scene-06_c3_ORG.tif,R0,c3,ORG,JE-TMA-42-Scene-06,R0c3,JE-TMA-42,200.0,0.0
