,0,1,2,3,4
R10_H3K27_pS6RP_CD31_GRNZB_JE-TMA-43_2020_01_30__10_02__3037-Scene-02.czi,10.0,20.0,400.0,250.0,200.0
R8_CK8_cPARP_ColIV_CD20_JE-TMA-43_2020_01_28__10_31__3019-Scene-02.czi,10.0,20.0,400.0,500.0,500.0
R11_LamB1_CoxIV_HIF1a_CD3_JE-TMA-43__2020_01_31__10_19__3048-1-Scene-02.czi,15.0,30.0,200.0,1000.0,400.0
R1_R1c2_CK14_Ki67_CK19_JE-TMA-43_2020_01_16__10_30__2946-Scene-02.czi,10.0,50.0,40.0,450.0,120.0
R9_CK17_H3K4_gH2AX_ColI_JE-TMA-43_2020_01_29__11_27__3027-Scene-02.czi,10.0,30.0,400.0,200.0,20.0
R0_R0c2_R0c3_R0c4_R0c5_JE-TMA-43_2020_01_15__11_33__2941-Scene-02.czi,15.0,50.0,200.0,500.0,500.0
R7_Vim_CD8_CD4_PgR_JE-TMA-43_2020_01_27__09_53__3012-Scene-02.czi,10.0,20.0,500.0,250.0,500.0
R2_PCNA_HER2_ER_Ecad_JE-TMA-43_2020_01_17__11_38__2955-Scene-02.czi,15.0,50.0,50.0,500.0,150.0
R3_aSMA_AR_pAKT_CD44_JE-TMA-43_2020_01_21__10_42__2962-Scene-02.czi,10.0,50.0,250.0,500.0,150.0
R12Q_R12Qc2_R12Qc3_R12Qc4_R12Qc5_JE-TMA-43_2020_02_04__10_44__3070-Scene-02.czi,15.0,50.0,200.0,500.0,500.0
R5Q_R5Qc2_R5Qc3_R5Qc4_R5Qc5_JE-TMA-43_2020_01_23__14_37__2993-Scene-02.czi,15.0,50.0,200.0,500.0,500.0
R6_CK7_CD68_PD1_CD45_JE-TMA-43_2020_01_24__10_44__3004-Scene-02.czi,10.0,20.0,300.0,800.0,400.0
R5_pHH3_PDPN_pERK_FoxP3_JE-TMA-43_2020_01_23__09_49__2982-Scene-02.czi,15.0,20.0,500.0,1000.0,600.0
R4_CK5_EGFR_pRB_LamAC_JE-TMA-43_2020_01_22__09_58__2973-Scene-02.czi,15.0,30.0,350.0,1000.0,250.0
R12_Glut1_PDGFRa_LamB2_BMP2_JE-TMA-43_2020_02_03__16_17__3060-Scene-02.czi,10.0,45.0,300.0,300.0,500.0
