,rounds,color,imagetype,scene,marker
Registered-R0_R0c2.R0c3.R0c4.R0c5_JE-TMA-43-Scene-01_c1_ORG.tif,R0,c1,ORG,JE-TMA-43-Scene-01,DAPI
Registered-R0_R0c2.R0c3.R0c4.R0c5_JE-TMA-43-Scene-01_c2_ORG.tif,R0,c2,ORG,JE-TMA-43-Scene-01,R0c2
Registered-R0_R0c2.R0c3.R0c4.R0c5_JE-TMA-43-Scene-01_c3_ORG.tif,R0,c3,ORG,JE-TMA-43-Scene-01,R0c3
Registered-R0_R0c2.R0c3.R0c4.R0c5_JE-TMA-43-Scene-01_c4_ORG.tif,R0,c4,ORG,JE-TMA-43-Scene-01,R0c4
Registered-R0_R0c2.R0c3.R0c4.R0c5_JE-TMA-43-Scene-01_c5_ORG.tif,R0,c5,ORG,JE-TMA-43-Scene-01,R0c5
Registered-R0_R0c2.R0c3.R0c4.R0c5_JE-TMA-43-Scene-02_c1_ORG.tif,R0,c1,ORG,JE-TMA-43-Scene-02,DAPI
Registered-R0_R0c2.R0c3.R0c4.R0c5_JE-TMA-43-Scene-02_c2_ORG.tif,R0,c2,ORG,JE-TMA-43-Scene-02,R0c2
Registered-R0_R0c2.R0c3.R0c4.R0c5_JE-TMA-43-Scene-02_c3_ORG.tif,R0,c3,ORG,JE-TMA-43-Scene-02,R0c3
Registered-R0_R0c2.R0c3.R0c4.R0c5_JE-TMA-43-Scene-02_c4_ORG.tif,R0,c4,ORG,JE-TMA-43-Scene-02,R0c4
Registered-R0_R0c2.R0c3.R0c4.R0c5_JE-TMA-43-Scene-02_c5_ORG.tif,R0,c5,ORG,JE-TMA-43-Scene-02,R0c5
Registered-R0_R0c2.R0c3.R0c4.R0c5_JE-TMA-43-Scene-03_c1_ORG.tif,R0,c1,ORG,JE-TMA-43-Scene-03,DAPI
Registered-R0_R0c2.R0c3.R0c4.R0c5_JE-TMA-43-Scene-03_c2_ORG.tif,R0,c2,ORG,JE-TMA-43-Scene-03,R0c2
Registered-R0_R0c2.R0c3.R0c4.R0c5_JE-TMA-43-Scene-03_c3_ORG.tif,R0,c3,ORG,JE-TMA-43-Scene-03,R0c3
Registered-R0_R0c2.R0c3.R0c4.R0c5_JE-TMA-43-Scene-03_c4_ORG.tif,R0,c4,ORG,JE-TMA-43-Scene-03,R0c4
Registered-R0_R0c2.R0c3.R0c4.R0c5_JE-TMA-43-Scene-03_c5_ORG.tif,R0,c5,ORG,JE-TMA-43-Scene-03,R0c5
