,rounds,color,imagetype,scene,marker,tissue,exposure,round_int
Registered-R0_R0c2.R0c3.R0c4.R0c5_NPPan4165-65-Scene-1_c1_ORG.tif,R0,c1,ORG,NPPan4165-65-Scene-1,DAPI,NPPan4165-65,15.0,0.0
Registered-R0_R0c2.R0c3.R0c4.R0c5_NPPan4165-65-Scene-1_c2_ORG.tif,R0,c2,ORG,NPPan4165-65-Scene-1,R0c2,NPPan4165-65,50.0,0.0
Registered-R0_R0c2.R0c3.R0c4.R0c5_NPPan4165-65-Scene-1_c3_ORG.tif,R0,c3,ORG,NPPan4165-65-Scene-1,R0c3,NPPan4165-65,200.0,0.0
Registered-R0_R0c2.R0c3.R0c4.R0c5_NPPan4165-65-Scene-1_c4_ORG.tif,R0,c4,ORG,NPPan4165-65-Scene-1,R0c4,NPPan4165-65,500.0,0.0
Registered-R0_R0c2.R0c3.R0c4.R0c5_NPPan4165-65-Scene-1_c5_ORG.tif,R0,c5,ORG,NPPan4165-65-Scene-1,R0c5,NPPan4165-65,500.0,0.0
Registered-R0_R0c2.R0c3.R0c4.R0c5_NPPan4165-66-Scene-1_c1_ORG.tif,R0,c1,ORG,NPPan4165-66-Scene-1,DAPI,NPPan4165-66,15.0,0.0
Registered-R0_R0c2.R0c3.R0c4.R0c5_NPPan4165-66-Scene-1_c2_ORG.tif,R0,c2,ORG,NPPan4165-66-Scene-1,R0c2,NPPan4165-66,50.0,0.0
Registered-R0_R0c2.R0c3.R0c4.R0c5_NPPan4165-66-Scene-1_c3_ORG.tif,R0,c3,ORG,NPPan4165-66-Scene-1,R0c3,NPPan4165-66,200.0,0.0
Registered-R0_R0c2.R0c3.R0c4.R0c5_NPPan4165-66-Scene-1_c4_ORG.tif,R0,c4,ORG,NPPan4165-66-Scene-1,R0c4,NPPan4165-66,500.0,0.0
Registered-R0_R0c2.R0c3.R0c4.R0c5_NPPan4165-66-Scene-1_c5_ORG.tif,R0,c5,ORG,NPPan4165-66-Scene-1,R0c5,NPPan4165-66,500.0,0.0
Registered-R1_R1c2.R1c3.R1c4.R1c5_NPPan4165-65-Scene-1_c1_ORG.tif,R1,c1,ORG,NPPan4165-65-Scene-1,DAPI,NPPan4165-65,15.0,1.0
Registered-R1_R1c2.R1c3.R1c4.R1c5_NPPan4165-65-Scene-1_c2_ORG.tif,R1,c2,ORG,NPPan4165-65-Scene-1,R1c2,NPPan4165-65,50.0,1.0
